Coursename,Coursecode,Hours,Classification
Advanced Conservation Biology,P B 380C,3,Graduate
Advanced Microbial Ecology,P B 380E,3,Graduate
Population Genetics,P B 380P,3,Graduate
Advanced Readings in the Biological Sciences,"P B 180R, 280R, 380R","1, 2, 3",Graduate
Topics in Current Biology Concepts,P B 380T,3,Graduate
Ecology Seminar,P B 381E,3,Graduate
Advanced Plant Physiology,P B 381P,3,Graduate
Advanced Study and Research,"P B 182, 282, 382, 682, 982","1, 2, 3, 6, 9",Graduate
Topics in Computational and Statistical Biology,P B 382K,3,Graduate
"Topics in Ecology, Evolution, and Behavior",P B 384K,3,Graduate
Issues in Population Biology,P B 384L,3,Graduate
Topics in Plant Sciences,P B 386K,3,Graduate
Advanced Plant Anatomy,P B 387J,3,Graduate
Laboratory in Advanced Plant Anatomy,P B 187L,1,Graduate
Current Research in Plant Biology,P B 388D,3,Graduate
Plant Growth and Development,P B 388E,3,Graduate
Plant Molecular Biology,P B 388M,3,Graduate
Subjects and Skills for Graduate Students in Plant Biology,P B 389D,3,Graduate
Fundamentals of Evolution,P B 390C,3,Graduate
Fundamentals of Ecology,P B 390E,3,Graduate
Thesis,P B 698,6,Graduate
Master's Report,P B 398R,3,Graduate
Dissertation,"P B 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 70
DegreeView
