Coursename,Coursecode,Hours,Classification
Fundamentals of Public Relations,P R 305,3,Lower Division
Introduction to Integrated Communication for Sports,P R 305S,3,Lower Division
Introduction to Advertising and Public Relations Research,P R 309,3,Lower Division
Creativity and American Culture,P R 316,3,Lower Division
Writing for Public Relations,P R 317,3,Lower Division
Topics in Public Relations,"P R 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Integrated Communication for Nonprofit Organizations,P R 320,3,Upper Division
Leadership and Ethics,P R 321,3,Upper Division
"Health Communication: Messages, Campaigns, and the Media",P R 322,3,Upper Division
Public Communication of Science and Technology,P R 323,3,Upper Division
Communicating Sustainability,P R 324,3,Upper Division
Topics in Public Relations,"P R 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Technology Marketing and Advertising,P R 332,3,Upper Division
New Media Entrepreneurialism,P R 332C,3,Upper Division
Entrepreneurialism in Communication,P R 332D,3,Upper Division
Digital Graphic Communication,P R 339K,3,Upper Division
Brand Storytelling,P R 339L,3,Upper Division
Research in Sports Communication and Media,P R 341S,3,Upper Division
Public Relations Techniques,P R 348,3,Upper Division
The Business of Sports Media,P R 348S,3,Upper Division
Public Relations Internship,"P R 350, 650","3, 6",Upper Division
Internship in Sports Media,P R 350S,3,Upper Division
Public Relations Internship,P R 151,1,Upper Division
Strategies in Public Relations,P R 352,3,Upper Division
Advertising and Public Relations Law and Ethics,P R 353,3,Upper Division
Business Foundations for Public Relations,P R 360,3,Upper Division
Creativity in Artificial Intelligence,P R 361,3,Upper Division
Immersive Media Studio,P R 363,3,Upper Division
Immersive Experiences,P R 364,3,Upper Division
Audience Development and Engagement,P R 365,3,Upper Division
Integrated Communications Management,P R 367,3,Upper Division
Experimental Storytelling,P R 367E,3,Upper Division
Social Media,P R 369,3,Upper Division
Integrated Communications Campaigns: Honors,P R 377H,3,Upper Division
Integrated Communications Campaigns,P R 377K,3,Upper Division
Topics in Media Studies,P R 377M,3,Upper Division
Advanced Topics in Public Relations,P R 378,3,Upper Division
Special Topics in Sports Media,P R 378S,3,Upper Division
Public Relations Problems,"P R 179, 279, 379","1, 2, 3",Upper Division
Topics in Seminar in Public Relations,P R 391K,3,Graduate
,,Total Hours: 118
DegreeView
