Coursename,Coursecode,Hours,Classification
Introduction to Public Health,PBH 317,3,Lower Division
Topics in Public Health,"PBH 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Health Informatics and Health Information Technology,PBH 320,3,Upper Division
Introduction to Health Informatics,PBH 323,3,Upper Division
Topics in Public Health,PBH 330,3,Upper Division
Global Health,PBH 334,3,Upper Division
Selected Topics in Public Health,"PBH 137, 237, 337, 437","1, 2, 3, 4",Upper Division
Environmental Health,PBH 338,3,Upper Division
Public Health Research,PBH 341R,3,Upper Division
Epidemiology I,PBH 354,3,Upper Division
Health Behavior Theory and Practice,PBH 356,3,Upper Division
Health Policy and Health Systems,PBH 358D,3,Upper Division
Public Health Internship,PBH 361P,3,Upper Division
Epidemiology II: Quantitative Methods,PBH 362,3,Upper Division
"Project Management, Planning, and Evaluation",PBH 363,3,Upper Division
Field Epidemiology,PBH 364,3,Upper Division
Public Health Informatics,PBH 365,3,Upper Division
Global Health in Action,PBH 366,3,Upper Division
Emerging and Re-emerging Infectious Diseases,PBH 367,3,Upper Division
"Maternal, Child, and Family Health",PBH 368,3,Upper Division
Diverse Communities and Health Equity,PBH 369,3,Upper Division
Honors Tutorial Course,PBH 379H,3,Upper Division
,,Total Hours: 66
DegreeView
