Coursename,Coursecode,Hours,Classification
Topics in Swimming,PED 101J,1,Lower Division
Topics in Skin Diving and Scuba Diving,PED 102G,1,Lower Division
Topics in Social Dance,PED 103L,1,Lower Division
Topics in Tennis,PED 104P,1,Lower Division
Topics in Racquetball,PED 104R,1,Lower Division
Topics in Handball,PED 105C,1,Lower Division
Topics in Fencing,PED 105M,1,Lower Division
Topics in Karate/Tae Kwon Do,PED 105R,1,Lower Division
Topics in Judo,PED 105T,1,Lower Division
Beginning Hapkido/Self-Defense,PED 105U,1,Lower Division
Kickboxing and Self-Defense,PED 105V,1,Lower Division
Topics in Conditioning,PED 106C,1,Lower Division
Topics in Running,PED 106D,1,Lower Division
Topics in Archery,PED 107C,1,Lower Division
Topics in Golf,PED 107D,1,Lower Division
Topics in Gymnastics,PED 107L,1,Lower Division
Topics in Basketball,PED 108C,1,Lower Division
Topics in Softball,PED 108S,1,Lower Division
Topics in Volleyball,PED 109D,1,Lower Division
Topics in Physical Education,"PED 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Physical Education,"PED 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
,,Total Hours: 25
DegreeView
