Coursename,Coursecode,Hours,Classification
"Engineering, Energy, and the Environment",PGE 301,3,Lower Division
Numerical Methods and Programming,PGE 311,3,Lower Division
Physical and Chemical Behavior of Fluids I,PGE 312,3,Lower Division
Topics in Petroleum  and Geosystems Engineering,"PGE 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Physical and Chemical Behavior of Fluids II,PGE 421K,4,Upper Division
Transport Phenomena in Geosystems,PGE 322K,3,Upper Division
Reservoir Engineering I: Primary Recovery,PGE 323K,3,Upper Division
Reservoir Engineering II: Secondary and Tertiary Recovery,PGE 323L,3,Upper Division
Reservoir Engineering III: Numerical Simulation,PGE 323M,3,Upper Division
Petrophysics,PGE 424,4,Upper Division
Thermodynamics and Phase Behavior,PGE 326,3,Upper Division
Properties of Petroleum Fluids,PGE 427,4,Upper Division
Topics in Petroleum and Geosystems Engineering,"PGE 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Drilling and Well Completions,PGE 430,4,Upper Division
Engineering Communication,PGE 333T,3,Upper Division
Reservoir Geomechanics,PGE 334,3,Upper Division
Geostatistics and Data Analysis,PGE 338,3,Upper Division
Principles of Formation Evaluation,PGE 358,3,Upper Division
Advanced Reservoir Engineering,PGE 361,3,Upper Division
Production Technology and Design,PGE 362,3,Upper Division
Petroleum Leasing Regulations and Practices,PGE 363,3,Upper Division
Natural Gas Engineering,PGE 364,3,Upper Division
Resource Economics and Valuation,PGE 365,3,Upper Division
Fundamentals of Well Logging,PGE 368,3,Upper Division
Energy Finance,PGE 371,3,Upper Division
Advanced Drilling and Well Completions,PGE 372,3,Upper Division
Geosystems Engineering Design and Analysis,PGE 373L,3,Upper Division
Special Problems in Petroleum and Geosystems Engineering,"PGE 176, 276, 376","1, 2, 3",Upper Division
Deepwater Operations,PGE 377,3,Upper Division
Applied Reservoir Characterization,PGE 378,3,Upper Division
Topics in Petroleum and Geosystems Engineering,PGE 379,3,Upper Division
Undergraduate Honors Thesis,PGE 679H,6,Upper Division
Advanced Petroleum Laboratory for Master's Degree Candidates,"PGE 380, 680","3, 6",Graduate
Drilling Engineering,PGE 381,3,Graduate
Engineering Analysis,PGE 381K,3,Graduate
Advanced Petrophysics,PGE 381L,3,Graduate
Transport Phenomena,PGE 381M,3,Graduate
Basic Geological Concepts for Engineers,PGE 382,3,Graduate
Theory and Application of Reservoir Transients,PGE 382K,3,Graduate
Numerical Methods in Petroleum and Geosystems Engineering,PGE 382L,3,Graduate
Special Topics in Petroleum and Geosystems Engineering,PGE 383,3,Graduate
Advanced Thermodynamics and Phase Behavior,PGE 384,3,Graduate
Advanced Multi-Well Formation Evaluation,PGE 385K,3,Graduate
Advanced Well-Logging and Correlation,PGE 385M,3,Graduate
Advanced Fluid Flow in Porous Media,PGE 386K,3,Graduate
Secondary Recovery of Petroleum,PGE 387,3,Graduate
Fundamentals of Enhanced Oil Recovery I,PGE 387K,3,Graduate
Fundamentals of Enhanced Oil Recovery II,PGE 387L,3,Graduate
Advanced Reservoir Engineering,PGE 388,3,Graduate
Economic Analysis in the Petroleum Industry,PGE 389,3,Graduate
Advanced Laboratory for Doctoral Candidates,"PGE 290, 390, 690, 990","2, 3, 6, 9",Graduate
Numerical Simulation of Reservoirs,PGE 392K,3,Graduate
Topics in Research Seminar,"PGE 193, 293, 393","1, 2, 3",Graduate
Graduate Research Internship,PGE 397M,3,Graduate
Thesis,PGE 698,6,Graduate
Master's Report,PGE 398R,3,Graduate
Dissertation,"PGE 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 181
DegreeView
