Coursename,Coursecode,Hours,Classification
Concepts in Biomedical Pharmacology,PGS 480E,4,Graduate
Advanced Pharmaceutics: Laboratory Research,"PGS 180J, 280J, 380J","1, 2, 3",Graduate
Topics in Advanced Pharmaceutics,"PGS 180M, 280M, 380M","1, 2, 3",Graduate
Basic Principles in Experimental Design and Statistics,PGS 380S,3,Graduate
Texas Venture Labs Startup Practicum,PGS 380T,3,Graduate
Product Development,PGS 381F,3,Graduate
Advanced Manufacturing Pharmacy,PGS 381G,3,Graduate
Advanced Pharmaceutical Processing,PGS 381H,3,Graduate
Advanced Pharmacy Administration: Laboratory Research,"PGS 181J, 281J, 381J","1, 2, 3",Graduate
Topics in Advanced Pharmacy Administration,"PGS 181M, 281M, 381M","1, 2, 3",Graduate
Health Care Systems,PGS 381N,3,Graduate
Communication Skills for Translational Scientists,PGS 381V,3,Graduate
Molecular and Pharmacological Basis of Therapeutics,PGS 381W,3,Graduate
Analytical Methods in Biologics Formulation,PGS 382F,3,Graduate
Advanced Pharmacotherapy Seminar I,PGS 282J,2,Graduate
Advanced Pharmacotherapy Seminar II,PGS 282K,2,Graduate
Topics in Recent Advances in Pharmaceutics,PGS 382R,3,Graduate
Advanced Biopharmaceutics,"PGS 282S, 382S","2, 3",Graduate
Basic Concepts of Tumor Biology,PGS 382T,3,Graduate
Drug Discovery and Development,PGS 382U,3,Graduate
Pharmaceutical Biotechnology,PGS 382V,3,Graduate
Ethics in Science and Clinical Practice,PGS 182W,1,Graduate
Neuropharmacology I,PGS 383D,3,Graduate
Neuropharmacology II,PGS 383E,3,Graduate
Analytical Methods in Biologic Formulations,PGS 383G,3,Graduate
Health Innovation Entrepreneurship,PGS 383M,3,Graduate
Solution Theory and Disperse Systems,PGS 383N,3,Graduate
Advanced Pharmacokinetics,PGS 383P,3,Graduate
Statistics in Translational Science,PGS 383Q,3,Graduate
Rate Processes in Pharmaceutical Systems,PGS 383R,3,Graduate
Research Design and Methods,PGS 383V,3,Graduate
Biopharmaceutical Analysis,PGS 383W,3,Graduate
Pharmacological Mechanisms of Addiction,PGS 384G,3,Graduate
Fundamentals of Toxicology,PGS 384K,3,Graduate
Biochemical and Molecular Toxicology,PGS 384L,3,Graduate
Health Behavior  Theory and Medication Use Process,PGS 384N,3,Graduate
Introduction to Epidemiology,PGS 384S,3,Graduate
Advanced Epidemiology,PGS 384T,3,Graduate
Biopharmaceutical Analysis Laboratory,PGS 184U,1,Graduate
Responsible Conduct of Science,PGS 185D,1,Graduate
Grant Writing for Pharmacology and Toxicology,PGS 185G,1,Graduate
Advanced Pharmacotherapy Laboratory Research,"PGS 185J, 285J, 385J","1, 2, 3",Graduate
Clinical Pharmacokinetics,PGS 385L,3,Graduate
Advanced Pharmacokinetics and Pharmacodynamics,PGS 385M,3,Graduate
Translational Science PhD Seminar,PGS 185N,1,Graduate
Advanced Topics in Pharmacotherapy,"PGS 185W, 285W, 385W","1, 2, 3",Graduate
Cellular and Systems Physiology I,"PGS 386C, 486C","3, 4",Graduate
Cellular and Systems Physiology II,"PGS 386D, 486D","3, 4",Graduate
Advanced Medicinal Chemistry: Laboratory Research,"PGS 186J, 286J, 386J","1, 2, 3",Graduate
Pharmaceutical Industry and Marketing,PGS 386M,3,Graduate
Topics in Pharmacy,"PGS 186N, 286N, 386N, 486N","1, 2, 3, 4",Graduate
Manuscripts in Pharmaceutical Science,PGS 387G,3,Graduate
Communication Skills for Scientists,"PGS 387Q, 487Q","3, 4",Graduate
Introductory Bioorganic Chemistry,PGS 388C,3,Graduate
Dialogue Across Difference,PGS 188G,1,Graduate
Advanced Pharmacology: Laboratory Research,"PGS 188J, 288J, 388J","1, 2, 3",Graduate
Topics in Advanced Pharmacology,"PGS 188K, 288K, 388K","1, 2, 3",Graduate
Fundamentals of Fluorescence Microscopy,PGS 288M,2,Graduate
Pharmacy Association Management,PGS 389C,3,Graduate
Advanced Pharmacotherapeutics of Cardiovascular Disorders,PGS 389J,3,Graduate
Fundamentals of Health Innovations,PGS 389M,3,Graduate
Advanced Pharmacotherapeutics of Infectious Diseases,PGS 389P,3,Graduate
Seminar in Alcohol Studies,PGS 189Q,1,Graduate
Topics in Advanced Pharmacotherapeutics of Human Diseases and Illnesses,"PGS 190G, 290G, 390G","1, 2, 3",Graduate
Advanced Pharmaceutics Research Conference,PGS 190H,1,Graduate
Data Analysis in Health Care,PGS 390J,3,Graduate
Experimental Design and Research Methodology in Health Care,PGS 390K,3,Graduate
Topics in Pharmacotherapy: Special Problems,"PGS 190R, 290R, 390R","1, 2, 3",Graduate
