Coursename,Coursecode,Hours,Classification
Introduction to Philosophy,PHL 301 (TCCN: PHIL 1301),3,Lower Division
Ancient Philosophy,PHL 301K (TCCN: PHIL 2316),3,Lower Division
Early Modern Philosophy,PHL 301L,3,Lower Division
World Philosophy,PHL 302,3,Lower Division
Ethics and Enlightenment,PHL 302C,3,Lower Division
Human Nature,PHL 303,3,Lower Division
Mind and Body,PHL 303M,3,Lower Division
Contemporary Moral Problems,PHL 304,3,Lower Division
Introduction to Technology Ethics,PHL 304T,3,Lower Division
Introduction to the Philosophy of Religion,PHL 305 (TCCN: PHIL 2321),3,Lower Division
Topics in Philosophical Thinkers,PHL 306,3,Lower Division
Descartes,PHL 306D,3,Lower Division
"Mind, Matter, and Persons",PHL 306L,3,Lower Division
Knowledge and Reality,PHL 310,3,Lower Division
Problems of Knowledge and Valuation,PHL 610Q,6,Lower Division
Argument,PHL 311,3,Lower Division
Introduction to Logic,PHL 312 (TCCN: PHIL 2303),3,Lower Division
Introductory Symbolic Logic,PHL 313,3,Lower Division
"Logic, Sets, and Functions",PHL 313K,3,Lower Division
Logic and Scientific Reasoning,PHL 313Q,3,Lower Division
Philosophy and Film,PHL 315F,3,Lower Division
Philosophy and Literature,PHL 315L,3,Lower Division
Science and Philosophy,PHL 316K,3,Lower Division
Introduction to the Philosophy of the Arts,PHL 317K,3,Lower Division
Introduction to Ethics,PHL 318 (TCCN: PHIL 2306),3,Lower Division
Introduction to Political Philosophy,PHL 318K (TCCN: PHIL 2307),3,Lower Division
Topics in Philosophy,"PHL 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Theory of Knowledge,PHL 321K,3,Upper Division
Science and the Modern World,PHL 322,3,Upper Division
History of Ethics,PHL 322K,3,Upper Division
Metaphysics,PHL 323K,3,Upper Division
Philosophy of Mind,PHL 323M,3,Upper Division
Philosophy of Science,PHL 323S,3,Upper Division
Environmental Ethics and Philosophy,PHL 325D,3,Upper Division
Biomedical Ethics,PHL 325E,3,Upper Division
Health and Justice,PHL 325J,3,Upper Division
Ethical Theories,PHL 325K,3,Upper Division
"Business, Ethics, and Public Policy",PHL 325L,3,Upper Division
"Medicine, Ethics, and Society",PHL 325M,3,Upper Division
Organizational Ethics,PHL 325N,3,Upper Division
Nineteenth-Century Philosophy,PHL 328,3,Upper Division
Plato and His Philosophy,PHL 329C,3,Upper Division
Spinoza's Philosophical System,PHL 329D,3,Upper Division
Aristotle,PHL 329E,3,Upper Division
Squaring the Vienna Circle,PHL 329F,3,Upper Division
History of Ancient Philosophy,PHL 329K,3,Upper Division
Early Modern Philosophy: Descartes to Kant,PHL 329L,3,Upper Division
Kant's Critique of Pure Reason,PHL 329P,3,Upper Division
Topics in Philosophy,"PHL 129S, 229S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 4, 5, 6, 7, 8, 9",Upper Division
Thomas Aquinas and His Philosophy,PHL 329T,3,Upper Division
Perspectives on Science and Mathematics,PHL 329U,3,Upper Division
Philosophy of Language,PHL 332,3,Upper Division
Interpretation and Meaning,PHL 332M,3,Upper Division
Forensic Files: Philosophy Crimes,PHL 334F,3,Upper Division
Martin Heidegger,PHL 334M,3,Upper Division
German Scholars: US Exile,PHL 334Q,3,Upper Division
Topics in Political Philosophy,PHL 342,3,Upper Division
Origins of Liberalism,PHL 342L,3,Upper Division
Marx and Marxist Theory,PHL 342M,3,Upper Division
Four Modern Political Theories,PHL 342P,3,Upper Division
Philosophy of Race and Gender,PHL 342R,3,Upper Division
Advanced Political Philosophy,PHL 342T,3,Upper Division
Intermediate Symbolic Logic,PHL 344K,3,Upper Division
Philosophy of Mathematics,PHL 344M,3,Upper Division
Aesthetics,PHL 346K,3,Upper Division
Philosophy of Law,PHL 347,3,Upper Division
Classical Chinese Philosophy,PHL 348C,3,Upper Division
Chinese Ethics and Political Philosophy,PHL 348D,3,Upper Division
The Bhagavad Gita: Interpretation and Ethics,PHL 348G,3,Upper Division
Indian Philosophies,PHL 348P,3,Upper Division
History of Medieval and Renaissance Philosophy,PHL 349,3,Upper Division
Contemporary Christian Philosophy,PHL 356C,3,Upper Division
History of Christian Philosophy,PHL 356D,3,Upper Division
Philosophical Logic,PHL 358,3,Upper Division
Philosophy in Literature,PHL 361K,3,Upper Division
Scientific Method,PHL 363,3,Upper Division
Topics in Philosophy of Science,PHL 363L,3,Upper Division
Topics in Selected Problems in Philosophy,PHL 365,3,Upper Division
The Meaning of Life,PHL 365M,3,Upper Division
The Nature of Visual Consciousness,PHL 365N,3,Upper Division
The Pursuit of Happiness,PHL 365P,3,Upper Division
Existentialism,PHL 366K,3,Upper Division
Topics in Major Seminar,PHL 375M,3,Upper Division
Honors Tutorial Course,PHL 679H,6,Upper Division
Conference Course,PHL 379K,3,Upper Division
Topics in Contemporary Philosophy,PHL 380,3,Graduate
French-German Philosophy and Theory,PHL 380N,3,Graduate
Topics in History of Philosophy,PHL 381,3,Graduate
Topics in Metaphysics,PHL 382,3,Graduate
Topics in Theory of Knowledge,PHL 383,3,Graduate
Introduction to Cognitive Science,PHL 383C,3,Graduate
First-Year Seminar,PHL 384F,3,Graduate
The Analytic Tradition,PHL 384K,3,Graduate
Topics in Theory of Value,PHL 385,3,Graduate
Topics in Philosophy of Science,PHL 386,3,Graduate
"Topics in Ethical, Political, and Legal Philosophy",PHL 387,3,Graduate
Intersectionality: Identity and Politics,PHL 387C,3,Graduate
Conference Course,"PHL 188, 388","1, 3",Graduate
Prospectus Course,PHL 388C,3,Graduate
Topics in Logic,PHL 389,3,Graduate
Topics in Logic and Philosophy,PHL 391,3,Graduate
Philosophy of Language,PHL 394K,3,Graduate
Job Market,PHL 396M,3,Graduate
Dissertation Seminar,PHL 396W,3,Graduate
Thesis,PHL 698,6,Graduate
Master's Report,PHL 398R,3,Graduate
Supervised Teaching in Philosophy,PHL 398T,3,Graduate
Dissertation,"PHL 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 333
DegreeView
