Coursename,Coursecode,Hours,Classification
Drugs in Our Society,PHM 310K,3,Lower Division
Take your Medicine: Developing New Drug Products,PHM 311K,3,Lower Division
Topics in Pharmacy PharmD,"PHM 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Pharmacy PharmD,"PHM 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Introduction to Pharmacology,PHM 338,3,Upper Division
Drugs in Our Society,PHM 350K,3,Upper Division
Basic Study in Pharmaceutical Research for Nonmajors,"PHM 160J, 260J, 360J","1, 2, 3",Upper Division
Topics in Pharmaceutical Sciences for Nonmajors,"PHM 160R, 260R, 360R","1, 2, 3",Upper Division
Pharmacotherapeutics of Vaccine-Preventable Diseases,PHM 180,1,Graduate
Human Normal Physiology/Pathophysiology and Basics in Pharmacology I,"PHM 380C, 480C","3, 4",Graduate
Human Normal Physiology/Pathophysiology II,"PHM 380D, 480D","3, 4",Graduate
Reaching our World,PHM 380E,3,Graduate
Landmark Studies in Cardiovascular Disease,PHM 280H,2,Graduate
Theory and Practice of Teaching in Pharmacy Education,PHM 280J,2,Graduate
Medicinal Chemistry Principles,PHM 180K,1,Graduate
Landmark Pharmacotherapy Studies in Primary Care,"PHM 280L, 380L","2, 3",Graduate
Basic Pharmaceutical Sciences Laboratory,PHM 180P,1,Graduate
Pharmaceutical Industry Fellowship Preparation,PHM 180Q,1,Graduate
Basic Study in Pharmaceutical Research,"PHM 180R, 280R, 380R","1, 2, 3",Graduate
Tools to Enhance Academic Success,PHM 180S,1,Graduate
Global Health,"PHM 180T, 280T, 380T","1, 2, 3",Graduate
Psychiatric Pharmacy Practice and Drug Treatment of Mental Disorders,PHM 280W,2,Graduate
Pharmacotherapeutics of the Renal and Autonomic Systems,PHM 181,1,Graduate
Introductory Spanish for the Pharmacy Professional,PHM 281E,2,Graduate
Theory and Practice of Assessment in Pharmacy Education,PHM 281J,2,Graduate
Pharmaceutical Marketing,PHM 381K,3,Graduate
Pharmaceutical Biochemistry I,PHM 381M,3,Graduate
Pharmaceutical Biochemistry II,PHM 281N,2,Graduate
Introduction to Pharmaceutical Industry,PHM 181Q,1,Graduate
Research Opportunities in the Pharmaceutical Sciences,PHM 181R,1,Graduate
Foundations of Professional Development I,"PHM 181S, 281S","1, 2",Graduate
Foundations of Professional Development II,"PHM 181T, 281T","1, 2",Graduate
Pharmacy Practice Lab I,PHM 181V,1,Graduate
PharmD Year 1 Administrative Session I,PHM 081W,0,Graduate
Pharmacotherapeutics of the Respiratory System,PHM 182,1,Graduate
Nonprescription Pharmacotherapeutics and Self-Care I,PHM 282E,2,Graduate
Nonprescription Pharmacotherapeutics and Self-Care II,"PHM 182F, 282F","1, 2",Graduate
Pharmacy Business Plan Development,PHM 282G,2,Graduate
Nonprescription Pharmacotherapeutics and Self-Care: Introductory Pharmacy Practice Experience,PHM 182I,1,Graduate
Experimental Design and Research Methods in Health Care,PHM 382K,3,Graduate
Clinical Toxicology,PHM 382L,3,Graduate
Interprofessional Approach to Integrative Medicine,"PHM 182M, 282M, 382M","1, 2, 3",Graduate
Nonprescription Pharmacotherapeutics and Self Care II Laboratory,PHM 182P,1,Graduate
Topics in the Pharmaceutical Sciences,"PHM 182R, 282R, 382R","1, 2, 3",Graduate
Foundations of Professional Development III,"PHM 182S, 282S","1, 2",Graduate
Foundations of Professional Development IV,"PHM 182T, 282T","1, 2",Graduate
Pharmacy Practice Lab II,PHM 182V,1,Graduate
PharmD Year 1 Administrative Session II,PHM 082W,0,Graduate
Pharmacotherapeutics of the Cardiovascular System,"PHM 383, 483","3, 4",Graduate
Development of Interprofessional Education for Collaborative Practice,PHM 383E,3,Graduate
Basic Intravenous Admixtures,PHM 183F,1,Graduate
Basic Intravenous Admixtures Laboratory,PHM 183G,1,Graduate
Institutional Introductory Pharmacy Practice Experience,PHM 383I,3,Graduate
"New Concepts, Topics, and Issues in Pharmacy Practice",PHM 383K,3,Graduate
