Coursename,Coursecode,Hours,Classification
Intensive Polish I,POL 601C,6,Lower Division
First-Year Polish I,POL 506,5,Lower Division
First-Year Polish II,POL 507,5,Lower Division
Intensive Polish II,POL 611C,6,Lower Division
Second-Year Polish I,POL 312K,3,Lower Division
Second-Year Polish II,POL 312L,3,Lower Division
Third-Year Polish I,POL 325,3,Upper Division
Third-Year Polish II,POL 326,3,Upper Division
Topics in Advanced Polish,POL 328,3,Upper Division
Conference Course in Polish Language or Literature,POL 379,3,Upper Division
Topics in Polish Language,POL 392,3,Graduate
Conference Course,POL 395,3,Graduate
,,Total Hours: 46
DegreeView
