Coursename,Coursecode,Hours,Classification
First-Year Portuguese I,POR 601D,6,Lower Division
First-Year Portuguese II,POR 610D,6,Lower Division
Portuguese for Spanish Speakers I,POR 610S,6,Lower Division
Portuguese Conversation and Culture,POR 311C,3,Lower Division
Second-Year Portuguese,POR 611D,6,Lower Division
Portuguese Conversation and Culture for Spanish Speakers,POR 311J,3,Lower Division
Portuguese for Spanish Speakers II,POR 611S,6,Lower Division
"Accelerated Second-Year Portuguese: Oral Expression, Reading, and Composition",POR 612,6,Lower Division
Intermediate Writing and Grammar in Context,POR 314C,3,Lower Division
Intermediate Writing and Grammar for Spanish Speakers,POR 314J,3,Lower Division
Topics in Portuguese,"POR 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Portuguese Pronunciation,POR 321P,3,Upper Division
Conference Course in Luso-Brazilian Civilization,POR 322C,3,Upper Division
Conference Course in Luso-Brazilian Literature,POR 322L,3,Upper Division
Advanced Grammar and Writing in Context,POR 327C,3,Upper Division
Introduction to Literatures and Cultures,POR 328C,3,Upper Division
Topics in Portuguese,POR 377C,3,Upper Division
Introduction to Language and Linguistics in Society,POR 330L,3,Upper Division
Luso-Migrations: Portugal and Brazil,POR 344C,3,Upper Division
Brazilian Film and Culture,POR 350C,3,Upper Division
Brazilian and Spanish American Literature,POR 352,3,Upper Division
Sociolinguistics,POR 353,3,Upper Division
United States Latino Literatures and Cultures in Context,POR 354,3,Upper Division
Applied Linguistics,POR 364L,3,Upper Division
Business in Brazilian Life and Culture,POR 367C,3,Upper Division
Topics in Linguistics,POR 368T,3,Upper Division
Global Brazil,POR 375D,3,Upper Division
Popular Music in Brazil,POR 375E,3,Upper Division
Capstone Seminar in Literatures and Cultures,POR 379C,3,Upper Division
Honors Tutorial Course,POR 379H,3,Upper Division
Capstone Seminar in Linguistics,POR 379L,3,Upper Division
Topics in Brazilian Literature,POR 381,3,Graduate
Conference Course in Luso-Brazilian Literatures and Linguistics,"POR 285L, 385L","2, 3",Graduate
Topics in Comparative Romance Linguistics,POR 396K,3,Graduate
Master's Report,POR 398R,3,Graduate
,,Total Hours: 123
DegreeView
