Coursename,Coursecode,Hours,Classification
Lower-Division Music Performance: Secondary,PRF 201,2,Lower Division
Topics in Lower Division Piano: Secondary,PRF 202,2,Lower Division
Lower-Division Music Performance: Principal,PRF 210,2,Lower Division
Lower-Division Music Performance: Major,"PRF 212, 312","2, 3",Lower Division
Lower-Division Music Performance: Improvisation,"PRF 212J, 312J, 412J","2, 3, 4",Lower Division
Upper-Division Music Performance: Secondary,PRF 251,2,Upper Division
Upper-Division Music Performance: Principal,PRF 260,2,Upper Division
Upper-Division Music Performance: Major,"PRF 262, 362","2, 3",Upper Division
Upper-Division Music Performance: Improvisation,"PRF 262J, 362J","2, 3",Upper Division
Graduate Course in Performance,"PRF 280, 380, 480","2, 3, 4",Graduate
Graduate Course in Performance: Jazz Improvisation,"PRF 280J, 480J","2, 4",Graduate
Graduate Course in Performance: Collaborative Piano,"PRF 280V, 480V","2, 4",Graduate
Advanced Graduate Course in Performance,"PRF 290, 490","2, 4",Graduate
Advanced Graduate Course in Performance: Jazz Improvisation,"PRF 290J, 490J","2, 4",Graduate
Advanced Graduate Course in Performance: Collaborative Piano,"PRF 290V, 490V","2, 4",Graduate
,,Total Hours: 40
DegreeView
