Coursename,Coursecode,Hours,Classification
Intensive Persian I,PRS 601C,6,Lower Division
First-Year Persian I,PRS 506,5,Lower Division
First-Year Persian II,PRS 507,5,Lower Division
Intensive Persian II,PRS 611C,6,Lower Division
Intensive Persian for Heritage Speakers,PRS 612C,6,Lower Division
Second-Year Persian I,PRS 512K,5,Lower Division
Second-Year Persian II,PRS 512L,5,Lower Division
Topics in Persian,"PRS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Intermediate Persian I,PRS 322K,3,Upper Division
Intermediate Persian II,PRS 322L,3,Upper Division
"Topics in Persian Language, Literature, and Culture",PRS 329,3,Upper Division
Topics in Persian,"PRS 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Persian across Disciplines,PRS 130D,1,Upper Division
Conference Course in Persian Language and Literature,PRS 369,3,Upper Division
Topics in Persian Language,PRS 380C,3,Graduate
Intensive Graduate Language Instruction I,PRS 381H,3,Graduate
Intensive Graduate Language Instruction II,PRS 381J,3,Graduate
Intermediate Graduate Language Instruction I,PRS 381K,3,Graduate
Intermediate Graduate Language Instruction II,PRS 381L,3,Graduate
Topics in Persian Linguistics and Philology,PRS 382C,3,Graduate
Topics in Persian Literature,PRS 384C,3,Graduate
Conference Course in Persian Studies,PRS 389,3,Graduate
Thesis,PRS 698,6,Graduate
Master's Report,PRS 398R,3,Graduate
Dissertation,"PRS 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 93
DegreeView
