Coursename,Coursecode,Hours,Classification
Applied Research Methods,PSC 386,3,Graduate
Introduction to Prevention Science,PSC 390,3,Graduate
Theories of Change,PSC 391,3,Graduate
Prevention Science Across the Lifespan,PSC 392,3,Graduate
Foundations of Epidemiology,PSC 393,3,Graduate
Community Engaged Intervention Design,PSC 394,3,Graduate
Topics in Prevention Science,PSC 395,3,Graduate
Doctoral Seminar,"PSC 196, 296, 396","1, 2, 3",Graduate
Directed Research in Prevention Science,"PSC 196T, 296T, 396T","1, 2, 3",Graduate
Research Problems,"PSC 197, 297, 397","1, 2, 3",Graduate
Graduate Internship,"PSC 397P, 697P","3, 6",Graduate
Thesis,PSC 698,6,Graduate
Teaching in Higher Education,PSC 398T,3,Graduate
Dissertation,"PSC 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 45
DegreeView
