Coursename,Coursecode,Hours,Classification
Introduction to Psychology,PSY 301 (TCCN: PSYC 2301),3,Lower Division
Introduction to Child Psychology,PSY 304 (TCCN: PSYC 2308),3,Lower Division
Introduction to Cognitive Psychology,PSY 305,3,Lower Division
Introduction to Human Sexuality,PSY 306 (TCCN: PSYC 2306),3,Lower Division
Biopsychology,PSY 308 (TCCN: PSYC 2330),3,Lower Division
Personality,PSY 309 (TCCN: PSYC 2316),3,Lower Division
Statistical Methods in Psychology,PSY 317 (TCCN: PSYC 2317),3,Lower Division
Introduction to Statistics for the Behavioral Sciences,PSY 317L,3,Lower Division
Social Psychology,"PSY 319K (TCCN: PSYC 2319, SOCI 2326)",3,Lower Division
Introductory Research Experience,PSY 319R,3,Lower Division
Topics in Psychology,"PSY 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Psychological Methods and Statistics,PSY 420M,4,Upper Division
R Programming for Behavioral Sciences,PSY 120R,1,Upper Division
Perception,PSY 323,3,Upper Division
"Perceptual Systems: Neurons, Behavior, and Evolution",PSY 323P,3,Upper Division
Sex Differences in Cognition and Perception,PSY 323S,3,Upper Division
Seeing and Acting in a Virtual World,PSY 323V,3,Upper Division
Advanced Statistics,PSY 325K,3,Upper Division
Principles of Conditioning and Learning,PSY 326K,3,Upper Division
Topics in Psychology,"PSY 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Behavioral Neuroscience,PSY 332,3,Upper Division
Hormones and Behavior,PSY 332C,3,Upper Division
Human Brain Imaging in Psychology,PSY 332D,3,Upper Division
"Ethics, Genetics, and the Brain",PSY 332E,3,Upper Division
The Developing Brain,PSY 332J,3,Upper Division
The Neuroscience of Motivation and Reward,PSY 332M,3,Upper Division
Neural Plasticity And Behavior,PSY 332P,3,Upper Division
Psychology and Neuroscience of Sleep,PSY 332S,3,Upper Division
Biological Clocks and Behavior,PSY 332T,3,Upper Division
Diversity in Cognitive Aging,PSY 332U,3,Upper Division
Vision and Action,PSY 332W,3,Upper Division
Controversial Issues in Development,PSY 333C,3,Upper Division
Introduction to Developmental Psychology,PSY 333D,3,Upper Division
Identity Formation,PSY 333E,3,Upper Division
Fantasy and Reality,PSY 333F,3,Upper Division
The Development of Attachment Relationship,PSY 333G,3,Upper Division
Infant Development,PSY 333M,3,Upper Division
Cognitive Development,PSY 333N,3,Upper Division
Child Language,PSY 333P,3,Upper Division
Social Development in Children,PSY 333R,3,Upper Division
Developmental Science of Adolescence,PSY 333S,3,Upper Division
Adolescent Development,PSY 333T,3,Upper Division
Moral Development,PSY 333W,3,Upper Division
Psychology of Human Mating,PSY 334D,3,Upper Division
Evolutionary Psychology,PSY 334E,3,Upper Division
Psychology of Language,PSY 337,3,Upper Division
Language Processing,PSY 337P,3,Upper Division
Psychology of Reading,PSY 338K,3,Upper Division
Behavior Problems of Children,PSY 339,3,Upper Division
Industrial Psychology,PSY 340M,3,Upper Division
Selected Topics in Psychology,PSY 341K,3,Upper Division
Substance Abuse,PSY 343K,3,Upper Division
Individual Differences,PSY 345,3,Upper Division
Psychology of Sex,PSY 346K,3,Upper Division
Motivation,PSY 350,3,Upper Division
Psychopathology,PSY 352P,3,Upper Division
Psychopharmacology,PSY 353K,3,Upper Division
Cognition,PSY 355,3,Upper Division
Development of Categories and Concepts,PSY 355C,3,Upper Division
Animal Cognition,PSY 355D,3,Upper Division
Psychology of Consciousness,PSY 355E,3,Upper Division
The Cognitive Psychology of Music,PSY 355M,3,Upper Division
Cognitive Neuroscience,PSY 355N,3,Upper Division
Cognitive Science of Religion,PSY 355Q,3,Upper Division
