Coursename,Coursecode,Hours,Classification
Topics in Real Estate,"R E 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Real Estate,R E 372T,3,Upper Division
Introduction to Real Estate and Urban Land Development,R E 358,3,Upper Division
Real Estate Development,R E 364,3,Upper Division
Real Estate Practicum,R E 366P,3,Upper Division
Real Estate Investment Trust Investing,R E 367,3,Upper Division
Real Estate Investment,R E 376G,3,Upper Division
Real Estate Finance and Syndication,R E 378K,3,Upper Division
Topics in Seminar in Real Estate Analysis,R E 386,3,Graduate
Seminar in Real Estate Finance,"R E 288, 388","2, 3",Graduate
Real Estate Practicum,"R E 289, 389","2, 3",Graduate
,,Total Hours: 33
DegreeView
