Coursename,Coursecode,Hours,Classification
Topics in Risk Management,"R M 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Risk Management,"R M 140S, 240S, 340S, 440S, 540S, 640S, 740S, 840S, 940S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Introduction to Risk Management,R M 357E,3,Upper Division
Managing Employee Risks and Benefits,R M 369K,3,Upper Division
Quantitative Methods in Finance,R M 376,3,Upper Division
Property-Liability Risk Management and Planning,R M 377,3,Upper Division
Independent Research in Risk Management,"R M 179, 379","1, 3",Upper Division
Topics in Decision Analysis,R M 391,3,Graduate
Topics in Quantitative Finance,"R M 192, 292, 392","1, 2, 3",Graduate
Topics in Business Analytics,"R M 194, 294, 394","1, 2, 3",Graduate
Topics in Seminar: Risk Management,"R M 195, 295, 395","1, 2, 3",Graduate
,,Total Hours: 33
DegreeView
