Coursename,Coursecode,Hours,Classification
History of the Religions of Asia,R S 302,3,Lower Division
"Judaism, Christianity, and Islam: An Introduction",R S 304,3,Lower Division
"Jews, Pagans, and Christians",R S 304G,3,Lower Division
Introduction to the Philosophy of Religion,R S 305,3,Lower Division
Comparative Religious Ethics,R S 306C,3,Lower Division
The Roots of Religious Toleration,R S 306D,3,Lower Division
Ethics of Space Exploration,R S 306E,3,Lower Division
Introduction to Interreligious Dynamics,R S 307,3,Lower Division
Gods and Goddesses of India,R S 307F,3,Lower Division
Medieval Material Culture,R S 309C,3,Lower Division
Introduction to the Study of Religion,R S 310,3,Lower Division
Introduction to Middle East Religions,R S 310R,3,Lower Division
Topics in Religious Studies,R S 311,3,Lower Division
Religion and the Environment,R S 311E,3,Lower Division
Ethical Food Systems,R S 311F,3,Lower Division
Introduction to Buddhism,R S 312C,3,Lower Division
Yoga Past and Present,R S 312E,3,Lower Division
Introduction to the Old Testament,R S 313C,3,Lower Division
Introduction to Jewish Studies,R S 313D,3,Lower Division
Introduction to Jewish Latin America,R S 313E,3,Lower Division
Jewish Civilization: Beginnings to 1492,R S 313M,3,Lower Division
Jewish Civilization: 1492 to the Present,R S 313N,3,Lower Division
"Introduction to the Middle East: Religious, Cultural, and Historical Foundations",R S 314K,3,Lower Division
The Bible and Its Interpreters,R S 315C,3,Lower Division
The Conversion of Pagan Europe,R S 315J,3,Lower Division
Russian Icons and Propaganda,R S 315K,3,Lower Division
Luther's World,R S 315M,3,Lower Division
Introduction to the New Testament,R S 315N,3,Lower Division
The Faust Legend: From the Magus to Today,R S 315O,3,Lower Division
History of Religion in the United States,R S 316C,3,Lower Division
American Jews: The Yiddish Experience,R S 316E,3,Lower Division
Introduction to Religions of Latin America,R S 316L,3,Lower Division
Early Mesoamerican Religions,R S 316M,3,Lower Division
Introduction to Modern North Africa,R S 317N,3,Lower Division
The Rise of Christianity,R S 318,3,Lower Division
Introduction to Islam,R S 319,3,Lower Division
Topics in Religious Studies,R S 361,3,Upper Division
Introduction to Research Methods in the Study of Religion,R S 320,3,Upper Division
The Bhagavad Gita: Interpretation and Ethics,R S 320J,3,Upper Division
History of Hindu Religious Traditions,R S 321,3,Upper Division
History of Indian Buddhism,R S 322,3,Upper Division
Prophet of Islam: His Life and Times,R S 325,3,Upper Division
Russia's Soul: Spiritual Traditions,R S 325C,3,Upper Division
The Qur'an,R S 325G,3,Upper Division
History of Religion in America since 1800,R S 326,3,Upper Division
Jesus in History and Tradition,R S 335,3,Upper Division
Political Ideologies and Manifestos,R S 335C,3,Upper Division
Queering Black Religions,R S 335D,3,Upper Division
Religion and Society,R S 337,3,Upper Division
Shrines and Sanctuaries,R S 340C,3,Upper Division
Gandhi and Gandhism,R S 341C,3,Upper Division
The Taj Mahal and the Diversity of Indian Art,R S 341E,3,Upper Division
Jainism: Religion of Non-Violence,R S 341F,3,Upper Division
Formation of Indian Art,R S 341I,3,Upper Division
Karma: Ethical Theories of India,R S 341K,3,Upper Division
"Gender, Sexuality, and the Family in Indian Religions and Cultures",R S 341M,3,Upper Division
Indian Poetry and Religions,R S 341P,3,Upper Division
Buddhist Art,R S 341T,3,Upper Division
Devotional Literature of India,R S 341U,3,Upper Division
Indian Philosophies,R S 341V,3,Upper Division
Major Islamic Texts,R S 342C,3,Upper Division
Muslim Travelers and Traders,R S 343D,3,Upper Division
The Age of Reformation,R S 344,3,Upper Division
Islamic Spain and North Africa to 1492,R S 345,3,Upper Division
Religion and Visual Culture in the United States,R S 346C,3,Upper Division
Native American Religions,R S 346D,3,Upper Division
Religion and Film,R S 346E,3,Upper Division
United States Catholic History,R S 346F,3,Upper Division
Religion in the American West,R S 346G,3,Upper Division
