Coursename,Coursecode,Hours,Classification
"Introduction to Russian, East European, and Eurasian Studies",REE 301,3,Lower Division
Introduction to Russian Literature,REE 301L,3,Lower Division
Introduction to Eastern European Literature,REE 301M,3,Lower Division
"Topics in Russian, East European, and Eurasian Studies",REE 302,3,Lower Division
Cuisine and Culture of Central and Eastern Europe,REE 302C,3,Lower Division
Russian Icons and Propaganda,REE 302D,3,Lower Division
War in Comics and Photography: Southeast Europe,REE 302E,3,Lower Division
Dissent in Twentieth-Century Ukraine,REE 302F,3,Lower Division
The Soviet Hero in Literature and Culture,REE 302G,3,Lower Division
The Conversion of Pagan Europe,REE 302J,3,Lower Division
Supervised Research,REE 318Q,3,Lower Division
"Topics in Russian, East European, and Eurasian Studies",REE 385,3,Graduate
"Topics in Language, Literature, and Culture",REE 325,3,Upper Division
Russian Food Ways,REE 325C,3,Upper Division
"Topics in History, Economics, and Government",REE 335,3,Upper Division
"Topics in Sociology, Geography, and Anthropology",REE 345,3,Upper Division
Supervised Research,REE 358Q,3,Upper Division
Conference Course,REE 379C,3,Upper Division
Honors Tutorial Course,REE 679H,6,Upper Division
International Business Fellows Seminar,REE 380,3,Graduate
"Seminar in Russian, East European, and Eurasian Civilizations and Cultures",REE 381,3,Graduate
"Conference Course in Russian, East European, and Eurasian Studies",REE 382,3,Graduate
Topics in Literature and Culture,REE 386,3,Graduate
"Topics in Economics, History, and Government",REE 387,3,Graduate
"Topics in Anthropology, Sociology, and Geography",REE 388,3,Graduate
Master's Writing Colloquium,REE 189,1,Graduate
Thesis,REE 698,6,Graduate
Master's Report,REE 398R,3,Graduate
,,Total Hours: 88
DegreeView
