Coursename,Coursecode,Hours,Classification
Rhetoric and Writing,RHE 306 (TCCN: ENGL 1301),3,Lower Division
Rhetoric and Writing for Nonnative Speakers of English,RHE 306Q,3,Lower Division
Topics in Writing,RHE 309J (TCCN: ENGL 1302),3,Lower Division
Critical Reading and Persuasive Writing,RHE 309S,3,Lower Division
Intermediate Expository Writing,RHE 310,3,Lower Division
Writing in Digital Environments,RHE 312,3,Lower Division
Computer Programming for the Humanities,RHE 314,3,Lower Division
Introduction to Visual Rhetoric,RHE 315,3,Lower Division
Technical Writing,RHE 317 (TCCN: ENGL 2311),3,Lower Division
Topics in Rhetoric and Writing,"RHE 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Principles of Rhetoric,RHE 321,3,Upper Division
Advanced Writing,RHE 325M,3,Upper Division
Topics in Professional and Technical Writing for Liberal Arts Majors,RHE 328,3,Upper Division
Topics in Rhetoric and Writing,RHE 391,3,Graduate
Advanced Topics in Digital Rhetoric,RHE 330C,3,Upper Division
Topics in History of Rhetoric,RHE 330D,3,Upper Division
Topics in Rhetorical Theory and Analysis,RHE 330E,3,Upper Division
Rhetoric and Writing for Teachers of English,RHE 360M,3,Upper Division
Internship in Rhetoric and Writing,RHE 366,3,Upper Division
Conference Course in Rhetoric and Writing,RHE 367R,3,Upper Division
Writing Center Internship,RHE 368C,3,Upper Division
Topics in Editing for Publication,RHE 368E,3,Upper Division
Topics in Capstone Seminars in Rhetoric,RHE 375,3,Upper Division
Advanced Topics in Rhetoric and Writing,RHE 379C,3,Upper Division
Honors Tutorial Course,RHE 679H,6,Upper Division
Conference Course in Rhetoric and Writing,"RHE 180, 280, 380","1, 2, 3",Graduate
Research Methods in Rhetoric and Writing,RHE 381,3,Graduate
Rhetoric and Writing Theory,RHE 382,3,Graduate
Histories of Rhetoric and Writing,RHE 383,3,Graduate
Public Rhetorics,RHE 384,3,Graduate
Digital Writing and Research Studio,RHE 385,3,Graduate
Area Exam and Prospectus Hours,"RHE 389E, 689E, 989E","3, 6, 9",Graduate
Master's Report,RHE 389R,3,Graduate
Supervised Teaching in Rhetoric and Writing,RHE 398T,3,Graduate
Dissertation,"RHE 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 108
DegreeView
