Coursename,Coursecode,Hours,Classification
Topics in Romanian,ROM 301,3,Lower Division
First-Year Romanian I,ROM 406,4,Lower Division
First-Year Romanian II,ROM 407,4,Lower Division
Second-Year Romanian I,ROM 312K,3,Lower Division
Second-Year Romanian II,ROM 312L,3,Lower Division
Topics in Romanian,"ROM 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Third-Year Romanian I,ROM 325,3,Upper Division
Third-Year Romanian II,ROM 326,3,Upper Division
Topics in Advanced Romanian,ROM 328,3,Upper Division
Topics in Advanced Romanian,ROM 380,3,Graduate
Conference Course,ROM 395,3,Graduate
,,Total Hours: 35
DegreeView
