Coursename,Coursecode,Hours,Classification
Comics and Cartoons,RTF 301C,3,Lower Division
Media Storytelling and Analysis,RTF 301D,3,Lower Division
Fundamentals of Filmmaking,RTF 301I,3,Lower Division
Introductory Topics in Radio-Television-Film,RTF 301N,3,Lower Division
Topics in Radio-Television-Film,RTF 301R,3,Lower Division
Social Activism in Film,RTF 301S,3,Lower Division
History of Media Industries,RTF 302D,3,Lower Division
Fundamentals of Producing Film and Television,RTF 302I,3,Lower Division
Introduction to Media and Entertainment Industries,RTF 303C,3,Lower Division
Media and Culture,RTF 303D,3,Lower Division
Storytelling in Film and Television,RTF 304,3,Lower Division
Introduction to Film Production,RTF 304D,3,Lower Division
Introduction to World Cinema History,"RTF 306 (TCCN: COMM 2366, DRAM 2366)",3,Lower Division
Topics in Radio-Television-Film,"RTF 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Film and Broadcasting History to 1975,RTF 320I,3,Upper Division
History of American Television,RTF 321C,3,Upper Division
Film History to 1960,RTF 321D,3,Upper Division
Film and Broadcasting History 1975 to Present,RTF 321I,3,Upper Division
Film History 1960 to Present,RTF 322D,3,Upper Division
Screening Race,RTF 323C,3,Upper Division
Introduction to Global Media,RTF 324C,3,Upper Division
Topics in the Entertainment Professions,RTF 324L,3,Upper Division
Digital Remix Cultures,RTF 327C,3,Upper Division
Gender and Media Culture,RTF 328C,3,Upper Division
Digital Media Production,RTF 329C,3,Upper Division
Semester in Los Angeles: Principles of Production,RTF 330C,3,Upper Division
Internship in Media Industries,"RTF 130N, 330N, 630N","1, 3, 6",Upper Division
Media Content Management,RTF 331C,3,Upper Division
"Topics in Film, Video, and Television Theory",RTF 331K,3,Upper Division
Topics in New Communication Technologies,RTF 331P,3,Upper Division
Topics in Digital Media,RTF 331Q,3,Upper Division
Topics in New Media,RTF 331R,3,Upper Division
Introduction to Screenwriting,RTF 333,3,Upper Division
Topics in Television Analysis and Criticism,RTF 335,3,Upper Division
Special Projects in Radio-Television-Film,RTF 336,3,Upper Division
Topics in Radio Fundamentals,RTF 337,3,Upper Division
Topics in Studio Production,RTF 340,3,Upper Division
Topics in Design,RTF 340D,3,Upper Division
Music Video and Film Production,RTF 340M,3,Upper Division
Advanced Topics in Design,RTF 341D,3,Upper Division
Topics in Global Media,RTF 342,3,Upper Division
Topics in Global Media,RTF 387C,3,Graduate
Topics in Advanced Video Production,RTF 343,3,Upper Division
Acting for Filmmakers,RTF 343C,3,Upper Division
Cinematography,RTF 343D,3,Upper Division
Advanced Three-Dimensional Production,RTF 343N,3,Upper Division
Topics in Animation,RTF 344C,3,Upper Division
Topics in Special Applications of Digital Media Production,RTF 344M,3,Upper Division
Topics in Advanced Applications of Digital Media Production,RTF 344N,3,Upper Division
Topics in Game Development Capstone,RTF 344T,3,Upper Division
Topics in Film History,RTF 345,3,Upper Division
Introduction to Editing,RTF 346,3,Upper Division
Topics in The Business of Media,RTF 347C,3,Upper Division
Advanced Topics in Media Industries,RTF 347D,3,Upper Division
Advanced Editing,RTF 347E,3,Upper Division
Topics in Media Studies,RTF 347F,3,Upper Division
Topics in Media Industries with Screening,RTF 347G,3,Upper Division
The Business of Hollywood,RTF 347P,3,Upper Division
Topics in Media Studies with Screening,RTF 347S,3,Upper Division
Topics in Media Industries,RTF 348,3,Upper Division
Introduction to Digital Production,RTF 348C,3,Upper Division
Semester in Los Angeles Internship,"RTF 350L, 650L","3, 6",Upper Division
Semester in New York Internship,"RTF 350N, 650N","3, 6",Upper Division
Topics in Global Media and Area Studies,RTF 352,3,Upper Division
Advanced Topics in Media and Culture,RTF 359,3,Upper Division
Media Archaeology,RTF 359C,3,Upper Division
Topics in Media and Culture,RTF 359S,3,Upper Division
Topics in Media and Society,RTF 365,3,Upper Division
