Coursename,Coursecode,Hours,Classification
Intensive Russian I,RUS 601C,6,Lower Division
First-Year Russian I,"RUS 406, 506 (TCCN: RUSS 1411)","4, 5",Lower Division
First-Year Russian II,"RUS 407, 507 (TCCN: RUSS 1412)","4, 5",Lower Division
Intensive Russian II,RUS 611C,6,Lower Division
Second-Year Russian I,"RUS 312K, 412K (TCCN: RUSS 2311)","3, 4",Lower Division
Second-Year Russian II,"RUS 312L, 412L (TCCN: RUSS 2312)","3, 4",Lower Division
Topics in Russian,"RUS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Intermediate Russian Through Conversation,RUS 322C,3,Upper Division
Intermediate Russian Through Writing,RUS 322W,3,Upper Division
Topics in Advanced Russian,RUS 326,3,Upper Division
Russian through Drama,RUS 326C,3,Upper Division
Russian through Global Debate,RUS 326D,3,Upper Division
Advanced Russian Through History,RUS 326E,3,Upper Division
Topics in Russian,"RUS 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Russian across Disciplines,RUS 130D,1,Upper Division
The Art of Russian to English Translation,RUS 365T,3,Upper Division
Conference Course in Russian Language or Literature,RUS 379,3,Upper Division
Honors Tutorial Course,RUS 679H,6,Upper Division
Topics in Advanced Russian,RUS 380E,3,Graduate
Topics in Russian Linguistics,RUS 385,3,Graduate
Topics in Slavic Languages and Literatures other than Russian,RUS 392,3,Graduate
Conference Course,RUS 395,3,Graduate
Topics in Applied Linguistics and Pedagogy,RUS 397P,3,Graduate
Supervised Teaching in Russian,RUS 398T,3,Graduate
,,Total Hours: 79
DegreeView
