Coursename,Coursecode,Hours,Classification
Intensive Bosnian/Croatian/Serbian I,S C 601C,6,Lower Division
First-Year Bosnian/Croatian/Serbian I,S C 506,5,Lower Division
First-Year Bosnian/Croatian/Serbian II,S C 507,5,Lower Division
Intensive Bosnian/Croatian/Serbian II,S C 611C,6,Lower Division
Second-Year Bosnian/Croatian/Serbian  I,S C 312K,3,Lower Division
Second-Year Bosnian/Croatian/Serbian II,S C 312L,3,Lower Division
Topics in Bosnian/Croatian/Serbian Studies,S C 324,3,Upper Division
Third-Year Bosnian/Croatian/Serbian I,S C 325,3,Upper Division
Third-Year Bosnian/Croatian/Serbian II,S C 326,3,Upper Division
Conference Course in Bosnian/Croatian/Serbian,S C 379,3,Upper Division
"Topics in Bosnian, Croatian, and Serbian Language",S C 392,3,Graduate
Topics in Conference Course,S C 395,3,Graduate
,,Total Hours: 46
DegreeView
