Coursename,Coursecode,Hours,Classification
Introduction to Social Work and Social Welfare,S W 310 (TCCN: SOCW 2361),3,Lower Division
Introductory Topics in Social Work,S W 311,3,Lower Division
"Generalist Social Work Practice: Knowledge, Values, and Skills",S W 312,3,Lower Division
Social Work Research Methods,S W 313,3,Lower Division
Social Work Statistics,S W 318,3,Lower Division
Topics in Social Work,"S W 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
"Social Welfare Programs, Policies, and Issues",S W 323K,3,Upper Division
Foundations of Social Justice,S W 325,3,Upper Division
Human Behavior and Social Environment,S W 327,3,Upper Division
Transformative Teams In Health Care,S W 329,3,Upper Division
Topics in Social Work,"S W 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Social Work Practice with Individuals and Families,S W 332,3,Upper Division
Social Work Practice with Groups,S W 333,3,Upper Division
Social Work Practice in Organizations and Communities,S W 334,3,Upper Division
Facilitating Dialogues on LGBTQ Oppression: Peers for Pride in Action,S W 335,3,Upper Division
Social Work Applied Practice,S W 445,4,Upper Division
Social Work Practicum Instruction I,S W 645F,6,Upper Division
Social Work Practicum Instruction II,S W 645G,6,Upper Division
Special Topics in Generalist Social Work,S W 350,3,Upper Division
Topics in Disability Studies,S W 355,3,Upper Division
Current Social Work Topics,"S W 360K, 460K","3, 4",Upper Division
Social Justice and Change: A Critical International Perspective,"S W 367M, 467M","3, 4",Upper Division
Honors Tutorial Course,S W 679H,6,Upper Division
Human Behavior and the Social Environment,S W 381R,3,Graduate
"Foundations of Social Justice: Values, Diversity, Power, and Oppression",S W 381S,3,Graduate
Dynamics of Organizations and Communities,S W 381T,3,Graduate
Social Policy Analysis and Social Problems,S W 382R,3,Graduate
Dual MSSW Program with Partner Institutions,S W 083C,0,Graduate
Foundations of Social Work Practice I,S W 384F,3,Graduate
Foundations of Social Work Practice II,S W 384G,3,Graduate
Generalist Practicum Instruction I,S W 385F,3,Graduate
Generalist Practicum Instruction II,S W 385G,3,Graduate
Social Work Research Methods,S W 385R,3,Graduate
Advanced Integrative Capstone in Social Work Knowledge and Practice,S W 385T,3,Graduate
Direct Practice Immersion,S W 387D,3,Graduate
Topics in Special Issues,S W 387R,3,Graduate
Transformative Teams in Health Care,S W 387T,3,Graduate
Topics in Advanced  Research in Social Work: Seminar,S W 388R,3,Graduate
Topics in Strategies of Intervention: Seminar,S W 390N,3,Graduate
Topics in Social Welfare Policy Analysis,S W 392R,3,Graduate
Topics in Advanced Clinical Practice,S W 393R,3,Graduate
Topics in Advanced Macro Practice,S W 393T,3,Graduate
Topics in Social Justice and Populations at Risk,S W 393U,3,Graduate
Topics in Social Work in Specific Settings,S W 393V,3,Graduate
Advanced Practicum Instruction,"S W 394U, 694U","3, 6",Graduate
Colloquium on Issues in Social Work Education and Research I,S W 195F,1,Graduate
Research in Social Work,"S W 395J, 695J, 995J","3, 6, 9",Graduate
Topics in Conference Course in Social Work,"S W 195K, 295K, 395K, 495K","1, 2, 3, 4",Graduate
Research Practicum,S W 395L,3,Graduate
Colloquium on Issues in Social Work Education and Research II,S W 195N,1,Graduate
Area of Specialization Course,S W 395S,3,Graduate
Writing Practicum,S W 395W,3,Graduate
Social Justice and Change:  A Critical International Perspective,S W 497M,4,Graduate
Pedagogy in Social Work,S W 398T,3,Graduate
Dissertation,"S W 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 169
DegreeView
