Coursename,Coursecode,Hours,Classification
First-Year Sanskrit I,SAN 506,5,Lower Division
First-Year Sanskrit II,SAN 507,5,Lower Division
Second-Year Sanskrit I,SAN 312K,3,Lower Division
Second-Year Sanskrit II,SAN 312L,3,Lower Division
Topics in Sanskrit,"SAN 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Sanskrit Readings and Composition I,SAN 325K,3,Upper Division
Advanced Sanskrit Readings and Composition II,SAN 325L,3,Upper Division
Topics in Sanskrit,"SAN 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Sanskrit Language and Literature,SAN 330,3,Upper Division
Bhagavata Purana,SAN 330C,3,Upper Division
Kumarasambhava of Kalidasa,SAN 330D,3,Upper Division
Dharmasastra,SAN 330E,3,Upper Division
Buddhist and Jain Sanskrit,SAN 330F,3,Upper Division
Purva-Mimamsa,SAN 330G,3,Upper Division
Vedanta,SAN 330J,3,Upper Division
The Upanishads,SAN 330U,3,Upper Division
Conference Course in Sanskrit Language and Literature,SAN 360,3,Upper Division
Conference Course in Sanskrit Language and Culture,SAN 381,3,Graduate
Topics in Sanskrit Language and Culture,SAN 384S,3,Graduate
,,Total Hours: 61
DegreeView
