Coursename,Coursecode,Hours,Classification
Elementary Statistical Methods,SDS 301 (TCCN: MATH 1342),3,Lower Division
Foundations of Data Analysis,SDS 302F,3,Lower Division
Numbering Race,SDS 311C,3,Lower Division
Introduction to Data Science,SDS 313,3,Lower Division
Statistical Thinking,SDS 315,3,Lower Division
Topics in Statistics and Data Sciences,"SDS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Elements of Statistics,SDS 320E,3,Upper Division
Elements of Statistics: Honors,SDS 320H,3,Upper Division
Introduction to Probability and Statistics,SDS 321,3,Upper Division
Elements of Data Science,SDS 322E,3,Upper Division
Elements of Regression Analysis,SDS 324E,3,Upper Division
Honors Statistics,SDS 325H,3,Upper Division
Elements of Statistical Machine Learning,SDS 326E,3,Upper Division
Topics in Statistics and Data Sciences,"SDS 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Probability and Statistical Inference,SDS 431,4,Upper Division
Intermediate Statistical Methods,SDS 334,3,Upper Division
Practical Machine Learning,SDS 336,3,Upper Division
Advanced Statistical Methods,SDS 354,3,Upper Division
Case Studies in Data Science,SDS 357,3,Upper Division
Bayesian Statistics,SDS 364,3,Upper Division
Data Visualization,SDS 366,3,Upper Division
Statistical Theory,SDS 368,3,Upper Division
Parallel Computing for Science and Engineering,SDS 374C,3,Upper Division
Visualization and Data Analysis for Science and Engineering,SDS 374E,3,Upper Division
Special Topics in Scientific Computation,SDS 375,3,Upper Division
Introduction to Mathematical Statistics,SDS 378,3,Upper Division
Decision Analytics,SDS 378P,3,Upper Division
Undergraduate Research,"SDS 179R, 279R, 379R, 479R","1, 2, 3, 4",Upper Division
Statistical Methods I,SDS 380C,3,Graduate
Statistical Methods II,SDS 380D,3,Graduate
Topics in Statistics and Data Science Foundations,SDS 381M,3,Graduate
Statistical Modeling I,SDS 383C,3,Graduate
Statistical Modeling II,SDS 383D,3,Graduate
Topics in Data Analysis Applications,SDS 183K,1,Graduate
Topics in Statistics and Probability,SDS 384,3,Graduate
Topics in Applied Statistics,SDS 385,3,Graduate
Topics in Statistics and Data Science Extensions,SDS 386M,3,Graduate
Linear Models,SDS 387,3,Graduate
Graduate Research,"SDS 189R, 289R, 389R, 489R","1, 2, 3, 4",Graduate
Readings in Statistics,SDS 190,1,Graduate
Topics in Statistics and Data Science Foundations,SDS 391P,3,Graduate
Numerical Analysis: Linear Algebra,SDS 393C,3,Graduate
"Numerical Analysis: Interpolation, Approximation, Quadrature, and Differential Equations",SDS 393D,3,Graduate
Topics in Statistics and Data Science Extensions,SDS 396P,3,Graduate
Master's Report,SDS 398R,3,Graduate
Supervised Teaching in Statistics and Data Sciences,SDS 398T,3,Graduate
Dissertation,"SDS 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 138
DegreeView
