Coursename,Coursecode,Hours,Classification
Autism Spectrum Disorder: Truths and Consequences,SED 303,3,Lower Division
Topics in Special Education,"SED 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Individual Differences,SED 322C,3,Upper Division
Topics in Special Education,SED 378T,3,Upper Division
Field Experiences in Special Education,SED 332,3,Upper Division
Intercultural Communication and Collaboration,SED 337,3,Upper Division
Apprenticeship: Research to Practice,"SED 360, 960","3, 9",Upper Division
Assessment of Individuals with Mild to Moderate Disabilities,SED 372,3,Upper Division
Teaching Individuals with Mild to Moderate Disabilities,SED 375C,3,Upper Division
Foundations and Issues in Special Education,SED 376,3,Upper Division
Transition and the Exceptional Learner,SED 377,3,Upper Division
Assessment Practices in Autism and Developmental Disabilities,SED 378D,3,Upper Division
Advanced Early Childhood Intervention,SED 378E,3,Upper Division
Reading Assessment and Development with Diverse Populations,SED 378R,3,Upper Division
Teaching Individuals with Autism and Developmental Disabilities,SED 378S,3,Upper Division
Seminar in Special Education,SED 379,3,Upper Division
Topics in Multicultural Special Education,SED 380,3,Graduate
Topics in Learning Disabilities,SED 383,3,Graduate
High Incidence Disabled Student Teaching,"SED 383C, 983C","3, 9",Graduate
Topics in Early Childhood Special Education,SED 384,3,Graduate
Topics in Behavioral Disorders,SED 386,3,Graduate
Topics in Rehabilitation Counseling,SED 387,3,Graduate
Topics in Autism and Developmental Disabilities,SED 388,3,Graduate
Topics in Special Education Administration,SED 389,3,Graduate
Topics in Special Education: Graduate Seminar,SED 393,3,Graduate
Practicum in Special Education,"SED 394, 694","3, 6",Graduate
Topics in Independent Study,SED 395,3,Graduate
Topics in Special Education and Rehabilitation Counselor: Doctoral Seminar,SED 395D,3,Graduate
Professional Seminar,SED 695S,6,Graduate
Research Mentoring,SED 696,6,Graduate
Topics in Trends and Issues in Special Education and Rehabilitation Counseling,SED 396C,3,Graduate
Topics in Research Methods and Data Analysis,SED 396R,3,Graduate
Directed Research in Special Education,SED 396T,3,Graduate
Advanced College Teaching,SED 397C,3,Graduate
Graduate Internship,"SED 397P, 697P","3, 6",Graduate
Supervised Teaching in Special Education,SED 397S,3,Graduate
Thesis,SED 698,6,Graduate
Master's Report,SED 398R,3,Graduate
College Teaching in Special Education,SED 398T,3,Graduate
Dissertation,"SED 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 129
DegreeView
