Coursename,Coursecode,Hours,Classification
Topics in Intensive Slavic and Eurasian Languages I,SEL 601C,6,Lower Division
Topics in First-Year Slavic and Eurasian Languages I,SEL 506,5,Lower Division
Topics in First-Year Slavic and Eurasian Languages II,SEL 507,5,Lower Division
Topics in Intensive Slavic and Eurasian Languages II,SEL 611C,6,Lower Division
Topics in Second-Year Slavic and Eurasian Languages I,SEL 312K,3,Lower Division
Topics in Second-Year Slavic and Eurasian Languages II,SEL 312L,3,Lower Division
Topics in Slavic and Eurasian Languages,"SEL 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Slavic and Eurasian Languages,SEL 385,3,Graduate
Conference Course in Slavic and Eurasian Languages,SEL 379,3,Upper Division
Conference Course in Slavic and Eurasian Languages,SEL 395,3,Graduate
,,Total Hours: 40
DegreeView
