Coursename,Coursecode,Hours,Classification
"Introduction to Speech, Language, and Hearing Sciences",SLH 306K,3,Lower Division
Perspectives on Deafness,SLH 308K,3,Lower Division
Phonetic Description of Speech,SLH 311K,3,Lower Division
Developmental Language Science,SLH 312,3,Lower Division
Hearing Science,SLH 313L,3,Lower Division
Hearing Science: Laboratory,SLH 113P,1,Lower Division
Sociocultural Bases of Communication,SLH 314L,3,Lower Division
Speech Science,SLH 315S,3,Lower Division
Development Language Science: Laboratory,SLH 118L,1,Lower Division
"Topics in Speech, Language, and Hearing Sciences","SLH 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
"Topics in Speech, Language, and Hearing Sciences",SLH 352,3,Upper Division
Instructional Methods for Deaf Students,SLH 331E,3,Upper Division
Clinical Observation in Speech Language Pathology,SLH 340P,3,Upper Division
Principles of Audiology,SLH 341,3,Upper Division
Language and the Brain,SLH 350,3,Upper Division
Anatomy and Physiology of the Speech and Hearing Mechanism,SLH 358,3,Upper Division
Anatomy and Physiology of Speech and Hearing: Laboratory,SLH 158L,1,Upper Division
Communication and Deaf People,SLH 360M,3,Upper Division
Deaf Education Internship,SLH 364,3,Upper Division
Introduction to Speech and Language Disorders Assessment and Treatment in Children,SLH 367K,3,Upper Division
Clinical Practicum in Speech-Language Pathology and Audiology,"SLH 167M, 367M","1, 3",Upper Division
Clinical Research Internship,SLH 370,3,Upper Division
Internship,"SLH 170N, 370N, 670N","1, 3, 6",Upper Division
Introduction to Speech and Language Disorders Assessment and Treatment in Adults,SLH 371,3,Upper Division
Principles of Aural Rehabilitation,SLH 373,3,Upper Division
Deaf Education Seminar,SLH 175N,1,Upper Division
Clinical Audiology,SLH 378,3,Upper Division
Experiential Learning in Clinical Research,SLH 378C,3,Upper Division
Quality of Life in Clinical Care,SLH 378D,3,Upper Division
"Studies in Speech Language Pathology, Audiology","SLH 178K, 278K, 378K","1, 2, 3",Upper Division
Clinical Laboratory Experience in Audiology,SLH 178L,1,Upper Division
Conference Course,"SLH 180E, 280E, 380E, 480E","1, 2, 3, 4",Graduate
Clinical Practicum,"SLH 181L, 281L, 381L","1, 2, 3",Graduate
Augmentative and Alternative Communication,SLH 383C,3,Graduate
"Topics in Speech, Language, and Hearing Sciences for Doctoral Studies",SLH 383N,3,Graduate
Knowledge and Skills in Clinical Science I,SLH 385F,3,Graduate
Knowledge and Skills in Clinical Science II,SLH 385S,3,Graduate
Fundamental Principles in Clinical Practicum,SLH 386F,3,Graduate
Advanced Research Design and Statistics,SLH 386R,3,Graduate
Advanced Applications in Clinical Practicum,"SLH 386S, 686S, 986S","3, 6, 9",Graduate
Cultural and Linguistic Diversity,SLH 391C,3,Graduate
Cognitive and Linguistic Foundations of Language Development and Disorders,SLH 391D,3,Graduate
Bilingualism: Typical and Disordered Communication in Adults,SLH 391E,3,Graduate
Bilingualism: Typical and Disordered Communication in Pediatrics,SLH 391K,3,Graduate
Anatomy and Physiology of the Auditory System,SLH 391P,3,Graduate
Counseling,SLH 392C,3,Graduate
Dysphagia,SLH 393D,3,Graduate
"Stuttering, Cluttering, and Typical Disfluency",SLH 393F,3,Graduate
Developmental Speech Disorders,SLH 393G,3,Graduate
Acquired Cognitive Communication Disorders II,SLH 393J,3,Graduate
Acquired Cognitive Communication Disorders I,SLH 393M,3,Graduate
Preschool Language Disorders,SLH 393P,3,Graduate
Acquired Speech Disorders,SLH 393Q,3,Graduate
School-Age Language Disorders,SLH 393S,3,Graduate
Voice Disorders,SLH 393V,3,Graduate
Amplifying Systems in Aural Rehabilitation,SLH 394C,3,Graduate
Hearing Conservation,"SLH 194D, 394D","1, 3",Graduate
Auditory Electrophysiology,SLH 394E,3,Graduate
Applied Machine Learning and Data Analytics,SLH 395M,3,Graduate
Neurobiological Perspectives on Speech and Language,SLH 395N,3,Graduate
Advanced Amplifying Systems,SLH 396C,3,Graduate
Auditory Processing Disorders,SLH 396D,3,Graduate
Advanced Auditory Electrophysiology,SLH 396E,3,Graduate
Signals and Systems in Hearing and Speech,SLH 396M,3,Graduate
Thesis,SLH 698,6,Graduate
Supervised Teaching,SLH 398T,3,Graduate
Dissertation,"SLH 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 194
DegreeView
