Coursename,Coursecode,Hours,Classification
Introduction to the Study of Society,SOC 302 (TCCN: SOCI 1301),3,Lower Division
Physical Activity and Society,SOC 302P,3,Lower Division
Introductory Topics in Sociology,SOC 304,3,Lower Division
American Families Past and Present,SOC 307C (TCCN: SOCI 2301),3,Lower Division
Capital Punishment in America,SOC 307D,3,Lower Division
Contemporary United States Social Problems,SOC 307E (TCCN: SOCI 1306),3,Lower Division
Diversity in American Families,SOC 307F,3,Lower Division
Culture and Society in the United States,SOC 307G,3,Lower Division
Education and Society,SOC 307J,3,Lower Division
Fertility and Reproduction,SOC 307K,3,Lower Division
"Gender, Race, and Class in American Society",SOC 307L,3,Lower Division
Introduction to the Sociology of Health and Well-Being,SOC 307P,3,Lower Division
Environmental Inequality and Health,SOC 307Q,3,Lower Division
Judaism and Christianity in Sociological Perspective,SOC 307S,3,Lower Division
Punishment and Society,SOC 307T,3,Lower Division
Ethnicity and Gender: La Chicana,SOC 308D,3,Lower Division
The Rich and the Poor in America: Sociological Perspective,SOC 308G,3,Lower Division
Romantic Relationships and Family Formation,SOC 308J,3,Lower Division
Social Change and the Future,SOC 308K,3,Lower Division
Social Transformation of Love and Relationships,SOC 308L,3,Lower Division
Sociology of Identity,SOC 308M,3,Lower Division
"Comparative Religion, Politics, and Culture",SOC 308N,3,Lower Division
Introduction to Health and Society,SOC 308S,3,Lower Division
Creating the Sustainable Society,SOC 309C,3,Lower Division
Black and Latinx Intersections,SOC 309D,3,Lower Division
The New Latinas/os/xs,SOC 309G,3,Lower Division
Women's Reproductive Health for Nonscience Majors,SOC 310S,3,Lower Division
Social Determinants of Health,SOC 311C,3,Lower Division
"Society, Health, and Happiness",SOC 312S,3,Lower Division
Introduction to the Sociology of Religion,SOC 313K,3,Lower Division
Introduction to Social Statistics,SOC 317L,3,Lower Division
Juvenile Delinquency,SOC 318,3,Lower Division
Introduction to Social Demography,SOC 319,3,Lower Division
Topics in Sociology,"SOC 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Cancerland,SOC 320C,3,Upper Division
Political Sociology,SOC 320K,3,Upper Division
Soundtrack of Revolutions,SOC 320S,3,Upper Division
Qualitative Methods for Social Research,SOC 320T,3,Upper Division
Consumption in Latin America,SOC 321C,3,Upper Division
Demography of Crime and Punishment,SOC 321D,3,Upper Division
"Economy, Culture, and Society",SOC 321E,3,Upper Division
Fundraising and Philanthropy,SOC 321F,3,Upper Division
Global Health Issues and Health Systems,SOC 321G,3,Upper Division
Contemporary Issues in Sociology: Special Topics,SOC 321K,3,Upper Division
Sociology of Education,SOC 321L,3,Upper Division
Politics and Society in Latin America,SOC 321P,3,Upper Division
Social Inequality,SOC 321Q,3,Upper Division
The Sociology of Race and Work,SOC 321R,3,Upper Division
Anti-Semitism,SOC 321S,3,Upper Division
Sociology of Africa,SOC 321T,3,Upper Division
Urban Sociology,SOC 321U,3,Upper Division
Environmental Sociology,SOC 321V,3,Upper Division
Sociology of Creativity,SOC 322C,3,Upper Division
Race and the Digital,SOC 322D,3,Upper Division
Mental Health in Social Context,SOC 322F,3,Upper Division
"Politics, Power, and Society",SOC 322G,3,Upper Division
Economic Sociology of Health,SOC 322J,3,Upper Division
Race and Ethnicity Politics,SOC 322K,3,Upper Division
Law and Organizations,SOC 322L,3,Upper Division
Sociology of Masculinities,SOC 322M,3,Upper Division
Race Politics and Caribbeans,SOC 322N,3,Upper Division
Sex and Violence in Popular Culture,SOC 322P,3,Upper Division
Latino Migration and Human Trafficking,SOC 322T,3,Upper Division
United States Immigration,SOC 322U,3,Upper Division
"Race, Gender, and Surveillance",SOC 322V,3,Upper Division
The Family,SOC 323,3,Upper Division
Policing,SOC 323C,3,Upper Division
Border Control and Deaths,SOC 323D,3,Upper Division
Economic Sociology,SOC 323E,3,Upper Division
Food and Society,SOC 323F,3,Upper Division
Globalization and the Coronavirus Pandemic,SOC 323G,3,Upper Division
Latina/o/x Citizenship,SOC 323L,3,Upper Division
Building the Sustainable City,SOC 323S,3,Upper Division
Social Change in Developing Nations,SOC 324K,3,Upper Division
