Coursename,Coursecode,Hours,Classification
Spanish for Graduate Students in Other Departments,SPN 301,3,Lower Division
First-Year Spanish I,SPN 601D,6,Lower Division
Accelerated Introductory Spanish for Heritage Learners,SPN 604,6,Lower Division
First-Year Spanish II,SPN 610D,6,Lower Division
Intermediate Spanish,SPN 311,3,Lower Division
Second-Year Spanish,SPN 611D,6,Lower Division
Intermediate Spanish for Heritage Learners,SPN 311J,3,Lower Division
Spanish Conversation and Culture,SPN 314,3,Lower Division
Writing and Culture in Context for Heritage Learners,SPN 314J,3,Lower Division
Topics in Spanish,"SPN 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Grammar and Writing in Context,SPN 327C,3,Upper Division
Academic Writing for Heritage Speakers,SPN 327N,3,Upper Division
Advanced Writing and Service Learning,SPN 327V,3,Upper Division
Spanish Civilization,SPN 328,3,Upper Division
Introduction to Literatures and Cultures,SPN 328C,3,Upper Division
Topics in Spanish,SPN 377C,3,Upper Division
Spanish across Disciplines,SPN 130D,1,Upper Division
Introduction to Language and Linguistics in Society,SPN 330L,3,Upper Division
Spanish Pronunciation,SPN 346C,3,Upper Division
Research through Community Engagement,SPN 348V,3,Upper Division
Gender Issues in Contemporary Latin American Cinema,SPN 350C,3,Upper Division
Latin American Film and Culture,SPN 350D,3,Upper Division
Mediascapes: Literature and Media in the Caribbean,SPN 350E,3,Upper Division
Latin Noir: Film and Crime in Latin America,SPN 350F,3,Upper Division
Cuban Revolution,SPN 350G,3,Upper Division
Latin American Literary and Artistic Environmental Activism,SPN 350I,3,Upper Division
Don Quijote and the Early Modern World,SPN 351,3,Upper Division
"Globalization, Film, and Media in Latin America",SPN 351C,3,Upper Division
Spanish Cinema and Cultural Identity,SPN 351D,3,Upper Division
Contemporary Caribbean Literature,SPN 352C,3,Upper Division
"History, Discourse, and Language in Latin America",SPN 352D,3,Upper Division
Sociolinguistics,SPN 353,3,Upper Division
Journalism and Human Rights in Latin America,SPN 353C,3,Upper Division
Literature and Exile in the Spanish Caribbean,SPN 354C,3,Upper Division
Fantastic Fiction from Latin America,SPN 355C,3,Upper Division
Jewish Voices from Latin America,SPN 355D,3,Upper Division
Revolutionary Imagination in Latin American Cultures,SPN 355E,3,Upper Division
Violence in Contemporary Mexican Culture,SPN 355F,3,Upper Division
Memory and Writing in Caribbean Culture,SPN 355G,3,Upper Division
Migrations and Exiles in Latin American Literature and the Arts,SPN 355I,3,Upper Division
Cultures in Contact in Colonial Spanish America,SPN 355J,3,Upper Division
Body Politics in Latin American Poetry,SPN 355K,3,Upper Division
From El Che to Evita,SPN 355L,3,Upper Division
Garcia Marquez,SPN 355M,3,Upper Division
Hip Hop Culture in Latin America,SPN 355N,3,Upper Division
Gender and Modernity in Mexican Literature and Culture,SPN 355Q,3,Upper Division
"East, West, and New World Encounters",SPN 355R,3,Upper Division
Indigenous Voices in Latin American Literature,SPN 356C,3,Upper Division
Indigenous Resurgence,SPN 356D,3,Upper Division
"Hispanic Short Films, Stories, and Poems",SPN 356E,3,Upper Division
Writing on the Edge: Literature and Incarceration,SPN 357C,3,Upper Division
Cultures in Contact in Medieval Spain,SPN 357D,3,Upper Division
Spanish Translation and the Social Sciences,SPN 357E,3,Upper Division
Writing the Other in Spain and Latin American Texts,SPN 357F,3,Upper Division
Spain on the Red Carpet,SPN 357G,3,Upper Division
Brevity in Spanish-Language Literature and Film,SPN 358C,3,Upper Division
Spanish Creative Writing Fiction,SPN 358D,3,Upper Division
Spanish Creative Writing Nonfiction,SPN 358E,3,Upper Division
United States Latino Literatures and Cultures in Context,SPN 359,3,Upper Division
Linguistics and the Spanish Learner,SPN 364L,3,Upper Division
Conference Course in Hispanic Linguistics,SPN 365G,3,Upper Division
Conference Course in Hispanic Literature,SPN 365L,3,Upper Division
Spanish for Health Care Professions,SPN 367C,3,Upper Division
Business in Hispanic Life and Culture,SPN 367D,3,Upper Division
Advanced Oral and Written Expression for Teachers,SPN 367T,3,Upper Division
Contact Spanish in the United States,SPN 368D,3,Upper Division
Bilingualism,SPN 368E,3,Upper Division
Spanish in Mental Health Contexts,SPN 368F,3,Upper Division
Spanish for Law,SPN 368G,3,Upper Division
African Diasporas,SPN 369C,3,Upper Division
Honors Tutorial Course,SPN 377H,3,Upper Division
Capstone Seminar in Literatures and Cultures,SPN 379C,3,Upper Division
Honors Tutorial Course,SPN 679H,6,Upper Division
Capstone Seminar in Linguistics,SPN 379L,3,Upper Division
Topics in Spanish American Literature,SPN 380K,3,Graduate
Conference Course in Hispanic Literatures and Linguistics,"SPN 285L, 385L","2, 3",Graduate
Topics in Comparative Romance Linguistics,SPN 396K,3,Graduate
Master's Report,SPN 398R,3,Graduate
,,Total Hours: 247
DegreeView
