Coursename,Coursecode,Hours,Classification
Introduction to Semiconductor Science and Engineering,SSE 360,3,Upper Division
Advanced Packaging Manufacturing,SSE 360S,3,Upper Division
Projects in Semiconductor Science and Engineering,SSE 377K,3,Upper Division
Introduction to Semiconductors,SSE 380,3,Graduate
Topics in Semiconductor Science and Engineering,SSE 380C,3,Graduate
Semiconductor Processes,SSE 381,3,Graduate
Semiconductor Devices,SSE 382,3,Graduate
Topics in Semiconductor Manufacturing,SSE 383,3,Graduate
Topics in Semiconductor Circuits and Systems,SSE 384,3,Graduate
Topics in Heterogeneous Integration and Advanced Packaging,SSE 385,3,Graduate
Topics in Semiconductor Devices,SSE 386,3,Graduate
Semiconductor Manufacturing Laboratory,SSE 390,3,Graduate
Semiconductor Metrology and Characterization Laboratory,SSE 391,3,Graduate
Research,SSE 395,3,Graduate
Projects in Semiconductor Science and Engineering,SSE 397P,3,Graduate
Master's Report,SSE 398R,3,Graduate
,,Total Hours: 48
DegreeView
