Coursename,Coursecode,Hours,Classification
Introduction to Data Science,STA 301,3,Lower Division
Introduction to Data Science: Honors,STA 301H,3,Lower Division
Elementary Business Statistics,STA 309,3,Lower Division
Elementary Business Statistics: Honors,STA 309H,3,Lower Division
Topics in Statistics,"STA 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Statistics,STA 280N,2,Graduate
Data Science for Business Applications,STA 235,2,Upper Division
Data Science for Business Applications: Honors,STA 235H,2,Upper Division
Statistics and Modeling,STA 371G,3,Upper Division
Statistics and Modeling: Honors,STA 371H,3,Upper Division
Statistics and Modeling for Finance,STA 375,3,Upper Division
Statistics and Modeling for Finance: Honors,STA 375H,3,Upper Division
Intermediate Statistics,STA 376,3,Upper Division
Topics in Seminar in Business Statistics,"STA 180, 280, 380","1, 2, 3",Graduate
Sampling,STA 381,3,Graduate
Topics in Business Analytics,"STA 184N, 284N, 384N","1, 2, 3",Graduate
Business Analytics and Decision Modeling,"STA 287, 387","2, 3",Graduate
Business Analytics and Decision Modelling for Executives,STA 287C,2,Graduate
,,Total Hours: 50
DegreeView
