Coursename,Coursecode,Hours,Classification
Assessing Technologies and Innovations,STC 380C,3,Graduate
Strategic Career Planning,STC 081C,0,Graduate
Marketing Technological Innovations,STC 382,3,Graduate
Art and Science of Negotiation,STC 183C,1,Graduate
New Venture Strategies,STC 384C,3,Graduate
Creative and Innovative Management,STC 385,3,Graduate
Topics in Technology Commercialization,STC 386,3,Graduate
New Venture Accounting,STC 287,2,Graduate
Financing New Ventures,STC 288,2,Graduate
Problems in Specialized Fields,STC 389,3,Graduate
Technology Commercialization in the Global Economy,STC 291C,2,Graduate
Managing Product Development and Production,"STC 294C, 394C","2, 3",Graduate
New Venture Creation,STC 395,3,Graduate
New Venture Design and Implementation,STC 396,3,Graduate
,,Total Hours: 34
DegreeView
