Coursename,Coursecode,Hours,Classification
"Topics in Teaching Science, Technology, Engineering, and Mathematics","STM 180, 280, 380","1, 2, 3",Graduate
Knowing and Learning in STEM Education,STM 385,3,Graduate
Topics in Program Development and Research: Seminar,STM 385G,3,Graduate
Curriculum History and Development in STEM Education,STM 386,3,Graduate
Topics in Critical Issues in STEM Education,STM 390,3,Graduate
Advanced Topics in STEM Education,STM 390T,3,Graduate
Classroom Interactions and Project Based Instruction,STM 695,6,Graduate
STEM Education Forum,"STM 196, 396","1, 3",Graduate
"Directed Research in Science, Technology, Engineering and Mathematics Education","STM 196T, 296T, 396T, 696T, 996T","1, 2, 3, 6, 9",Graduate
Independent Study,"STM 197V, 397V","1, 3",Graduate
Thesis,STM 698,6,Graduate
Master's Report,STM 398R,3,Graduate
"Supervised Teaching in Science, Technology, Engineering, and Mathematics Education",STM 398T,3,Graduate
Dissertation,"STM 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 48
DegreeView
