Coursename,Coursecode,Hours,Classification
Intensive Swahili I,SWA 601C,6,Lower Division
First-Year Swahili I,SWA 506,5,Lower Division
First-Year Swahili II,SWA 507,5,Lower Division
Intensive Swahili II,SWA 611C,6,Lower Division
Accelerated Second-Year Swahili,SWA 612,6,Lower Division
Second-Year Swahili I,SWA 312K,3,Lower Division
Second-Year Swahili II,SWA 312L,3,Lower Division
Topics in Swahili,"SWA 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Swahili,"SWA 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Conference Course in Swahili Language and Literature,SWA 360,3,Upper Division
,,Total Hours: 43
DegreeView
