Coursename,Coursecode,Hours,Classification
First-Year Signature Course: Plan II,T C 302,3,Lower Division
Plan II World Literature Part I,T C 303C,3,Lower Division
Plan II World Literature Part II,T C 303D,3,Lower Division
Modes of Reasoning,T C 310,3,Lower Division
Topics in Tutorial Course,"T C 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in the Arts and Sciences,T C 325,3,Upper Division
Subjects in the Arts and Sciences,T C 125K,1,Upper Division
Plan II/Knowledge Is Power Program Charter Schools Partnership,T C 126,1,Upper Division
Civic Viewpoints,T C 127,1,Upper Division
Volunteer Service Orientation,T C 128K,1,Upper Division
Topics in Tutorial Course,"T C 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Special Topics in Plan II,T C 330,3,Upper Division
College to Career Connections,T C 130K,1,Upper Division
Topics in Plan II Junior Seminar,T C 358,3,Upper Division
Essay Course,T C 359T,3,Upper Division
Thesis Course: Honors,T C 660H,6,Upper Division
,,Total Hours: 41
DegreeView
