Coursename,Coursecode,Hours,Classification
Introduction to Theatre,T D 301 (TCCN: DRAM 1310),3,Lower Division
Arts Integrations for Multidisciplinary Connections,T D 302S,3,Lower Division
Topics in Dance Technique,"T D 102T, 202T, 302T","1, 2, 3",Lower Division
Fundamentals of Acting,T D 303,3,Lower Division
Training the Speaking Voice,T D 303C (TCCN: DRAM 2336),3,Lower Division
Acting for Voice Performance Majors I,T D 303V,3,Lower Division
Acting for Voice Performance Majors II,T D 303W,3,Lower Division
Topics in Black Theatre and Dance,T D 305S,3,Lower Division
Introduction to Improvisational Drama,T D 306,3,Lower Division
"Dance, Identity and Cultural Expression",T D 307K,3,Lower Division
"Costume, Culture, and Change on Stage and Screen",T D 308K,3,Lower Division
Musical Theatre Performing Ensemble,T D 109C,1,Lower Division
Studio Voice I,T D 109D,1,Lower Division
Studio Voice II,T D 109E,1,Lower Division
Musical Theatre on Stage and Screen,T D 309K,3,Lower Division
Languages of the Stage,T D 311,3,Lower Division
Performance as Public Practice,T D 311C,3,Lower Division
Performance as a Collaborative Practice,T D 311D,3,Lower Division
Introductory Topics in Theatre and Dance,"T D 111T, 211T, 311T","1, 2, 3",Lower Division
Freshman Movement and Physical Conditioning,"T D 112, 212","1, 2",Lower Division
Contemporary Dance Technique,T D 312C,3,Lower Division
Intermediate Contemporary Dance Technique,T D 312D,3,Lower Division
Ballet Technique,T D 312F,3,Lower Division
Intermediate Ballet Technique,T D 312G,3,Lower Division
Movement Improvisation,T D 312M,3,Lower Division
Movement Composition,T D 312N,3,Lower Division
Fundamental Projects in Dance Performance and Repertory,"T D 112P, 212P, 312P (TCCN: DANC 1151, DANC 2151)","1, 2, 3",Lower Division
Topics in Dance Technique,"T D 112T, 212T, 312T","1, 2, 3",Lower Division
Acting I,T D 313C (TCCN: DRAM 1351),3,Lower Division
Acting II,T D 313D (TCCN: DRAM 1352),3,Lower Division
Acting III,T D 313E,3,Lower Division
Voice and Movement I,T D 313F,3,Lower Division
Voice and Movement II,T D 313G,3,Lower Division
Voice Laboratory I,T D 313K,3,Lower Division
Voice Laboratory II,T D 313L,3,Lower Division
Movement Laboratory I,T D 313M,3,Lower Division
