Coursename,Coursecode,Hours,Classification
Accelerated First-Year Tamil,TAM 604,6,Lower Division
First-Year Tamil I,TAM 506,5,Lower Division
First-Year Tamil II,TAM 507,5,Lower Division
Accelerated Second-Year Tamil,TAM 612,6,Lower Division
Second-Year Tamil I,TAM 312K,3,Lower Division
Second-Year Tamil II,TAM 312L,3,Lower Division
Topics in Tamil,"TAM 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Tamil I,TAM 320K,3,Upper Division
Advanced Tamil II,TAM 320L,3,Upper Division
Topics in Tamil,"TAM 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Tamil Language and Literature,TAM 330,3,Upper Division
Conference Course in Tamil Language and Literature,TAM 360,3,Upper Division
Conference Course in Tamil Language and Culture,TAM 381,3,Graduate
Topics in Tamil Language and Culture,TAM 384,3,Graduate
,,Total Hours: 52
DegreeView
