Coursename,Coursecode,Hours,Classification
Accelerated First-Year Telugu,TEL 604,6,Lower Division
First-Year Telugu I,TEL 506,5,Lower Division
First-Year Telugu II,TEL 507,5,Lower Division
Accelerated Second-Year Telugu,TEL 612,6,Lower Division
Second-Year Telugu I,TEL 312K,3,Lower Division
Second-Year Telugu II,TEL 312L,3,Lower Division
Practice in Spoken Telugu,TEL 118K,1,Lower Division
Practice in Spoken Telugu II,TEL 118L,1,Lower Division
Topics in Telugu,"TEL 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Telugu,"TEL 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Telugu Language and Literature,TEL 330,3,Upper Division
Conference Course in Telugu Language and Literature,TEL 360,3,Upper Division
Conference Course in Telugu Language and Literature,TEL 381,3,Graduate
Topics in Telugu Language and Culture,TEL 384,3,Graduate
,,Total Hours: 48
DegreeView
