Coursename,Coursecode,Hours,Classification
Intensive Turkish I,TUR 601C,6,Lower Division
First-Year Turkish I,TUR 506,5,Lower Division
First-Year Turkish II,TUR 507,5,Lower Division
Intensive Turkish II,TUR 611C,6,Lower Division
Second-Year Turkish I,TUR 412K,4,Lower Division
Second-Year Turkish II,TUR 412L,4,Lower Division
Topics in Turkish,"TUR 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Intermediate Turkish I,TUR 320K,3,Upper Division
Intermediate Turkish II,TUR 320L,3,Upper Division
Advanced Turkish I,TUR 325K,3,Upper Division
Advanced Turkish II,TUR 325L,3,Upper Division
"Topics in Turkish Language, Literature, and Culture",TUR 329,3,Upper Division
Turkish Cinema,TUR 329C,3,Upper Division
Turkish Society and Culture,TUR 329D,3,Upper Division
Topics in Turkish,"TUR 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Turkish across Disciplines,TUR 130D,1,Upper Division
Conference Course in Turkish Language and Literature,TUR 369,3,Upper Division
Topics in Turkish Language and Literature,TUR 380,3,Graduate
Intensive Graduate Language Instruction I,TUR 381H,3,Graduate
Intensive Graduate Language Instruction II,TUR 381J,3,Graduate
Intermediate Graduate Language Instruction I,TUR 381K,3,Graduate
Intermediate Graduate Language Instruction II,TUR 381L,3,Graduate
Advanced Language Instruction I,TUR 381M,3,Graduate
Advanced Language Instruction II,TUR 381N,3,Graduate
Topics in Turkish Culture,TUR 382,3,Graduate
Conference Course in Turkish Studies,TUR 389,3,Graduate
Advanced Turkish I,TUR 390K,3,Graduate
Advanced Turkish II,TUR 390L,3,Graduate
,,Total Hours: 94
DegreeView
