Coursename,Coursecode,Hours,Classification
Clothing the Planet,TXA 301,3,Lower Division
Introduction to the Fashion Industry,TXA 301C,3,Lower Division
Topics in Textiles and Apparel,"TXA 103, 203, 303","1, 2, 3",Lower Division
Textiles,"TXA 205, 305","2, 3",Lower Division
Textiles Laboratory,TXA 105L,1,Lower Division
Apparel Industry,TXA 212K,2,Lower Division
Apparel Product Development and Design Laboratory,TXA 212L,2,Lower Division
Aesthetics: Theory and Practice,TXA 313,3,Lower Division
Computer-Aided Design for Apparel,TXA 314C,3,Lower Division
Product Development,"TXA 214K, 314K","2, 3",Lower Division
Product Development Laboratory,TXA 214L,2,Lower Division
Apparel I,TXA 316L,3,Lower Division
Sewn Products Analysis,TXA 316Q,3,Lower Division
Sewn-Product Analysis and Manufacturing,TXA 316R,3,Lower Division
Fashion Design Thinking,TXA 317D,3,Lower Division
Merchandising Math I,TXA 317R,3,Lower Division
Textiles Fabrication,TXA 317T,3,Lower Division
Fashioning America,TXA 318E,3,Lower Division
Medical Textiles,TXA 318T,3,Lower Division
Applied Art in Visual Presentation,"TXA 219C, 319C","2, 3",Lower Division
Applied Art in Visual Presentation Laboratory,TXA 119L,1,Lower Division
Merchandise Presentations in Retail Environments,TXA 319R,3,Lower Division
Topics in Textiles and Apparel,"TXA 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
"Culture, Gender, and Appearance",TXA 325K,3,Upper Division
History of Dress and Cultural Change I,TXA 325L,3,Upper Division
History of Dress and Cultural Change II,TXA 325M,3,Upper Division
Apparel II,"TXA 126, 326","1, 3",Upper Division
Apparel II Laboratory,TXA 226L,2,Upper Division
Clothing and Human Behavior,TXA 327,3,Upper Division
Social Psychology of Dress and Appearance,TXA 327C,3,Upper Division
Research Methods in Textiles and Apparel,TXA 328,3,Upper Division
Textiles and Apparel in a Global Market,TXA 331,3,Upper Division
Textiles and Apparel in the Global Marketplace,TXA 331E,3,Upper Division
"Paris: Fashion, History, and Techniques",TXA 340E,3,Upper Division
Sustainable Textile Manufacturing,TXA 340T,3,Upper Division
"Accessory Design, Product Development, and Merchandising",TXA 341E,3,Upper Division
New York: Apparel Industry,TXA 342E,3,Upper Division
Advanced Apparel Design Portfolio,TXA 350,3,Upper Division
Advanced Apparel Portfolio,TXA 350D,3,Upper Division
Pre-Internship Seminar,TXA 151,1,Upper Division
Advanced Apparel Design,TXA 351D,3,Upper Division
Merchandising Technology,TXA 351R,3,Upper Division
Field Experience in Textile Conservation Internship,"TXA 352C, 652C","3, 6",Upper Division
Field Experience in Apparel Design,TXA 352D,3,Upper Division
Historic Apparel Collections and Exhibit Management,TXA 352E,3,Upper Division
Field Experience in Retail Merchandising,TXA 352M,3,Upper Division
Field Experience I,TXA 353,3,Upper Division
Apparel Design Mentorship,TXA 353D,3,Upper Division
Material Properties and Deterioration,TXA 354C,3,Upper Division
Instrumental Methods for Conservation Assessment,TXA 354D,3,Upper Division
Conservation Planning and Preventive Treatments,TXA 354E,3,Upper Division
Advanced Exhibit Planning and Installation,TXA 354F,3,Upper Division
Topics in Problems Course,"TXA 155, 355","1, 3",Upper Division
Computer-Aided Design for Apparel,TXA 355C,3,Upper Division
Textiles Artifact Management and Conservation,TXA 355D,3,Upper Division
Textile and Apparel Economics,TXA 355K,3,Upper Division
History of Textiles,TXA 355N,3,Upper Division
Problems in Retail Merchandising,TXA 355P,3,Upper Division
Internship,TXA 356,3,Upper Division
Honors Reading Course,TXA 359H,3,Upper Division
Textile Testing,TXA 360,3,Upper Division
Advanced Textiles,"TXA 260L, 360L","2, 3",Upper Division
Consumer Behavior in the Marketplace,TXA 361,3,Upper Division
Biopolymers and Biomaterials,TXA 361T,3,Upper Division
CLO 3D,TXA 362D,3,Upper Division
Smart Textiles and Apparel Systems,TXA 362T,3,Upper Division
Jewelry Design and Technology,TXA 363D,3,Upper Division
Nanotechnologies in Textiles,TXA 363T,3,Upper Division
Topics in Advanced  Problems in Clothing,TXA 164K,1,Upper Division
Topics in Advanced Problems in Apparel Laboratory,TXA 264L,2,Upper Division
Advanced Topics in Textiles and Apparel,"TXA 165, 265, 365","1, 2, 3",Upper Division
Flat Pattern,TXA 366D,3,Upper Division
Draping,TXA 367D,3,Upper Division
Capstone Collections,TXA 368D,3,Upper Division
New York City Fashion and Sustainability,TXA 370,3,Upper Division
Principles of Retail Merchandising,TXA 376,3,Upper Division
Concepts and Innovations in Retailing,TXA 376R,3,Upper Division
Merchandising Systems,TXA 377,3,Upper Division
Merchandising Math II,TXA 377R,3,Upper Division
Topics in Textiles and Apparel: Honors Seminar,TXA 378H,3,Upper Division
Honors Tutorial Course,TXA 379H,3,Upper Division
Strategic Brand Management,TXA 379R,3,Upper Division
Topics in Research Problems in Textile and Apparel Technology,TXA 392,3,Graduate
Topics in Recent Advances in Textile and Apparel Technology,TXA 394,3,Graduate
Topics in Textiles and Apparel: Seminar,TXA 395,3,Graduate
Thesis,TXA 698,6,Graduate
,,Total Hours: 248
DegreeView
