Coursename,Coursecode,Hours,Classification
Topics in Visual Communication and Representation,U D 380C,3,Graduate
Topics in Landscape and Ecology,U D 381E,3,Graduate
Topics in Urban Development and Real Estate,U D 382M,3,Graduate
Topics in Urban Geography,U D 383M,3,Graduate
Topics in Urban Housing,U D 384M,3,Graduate
Topics in Transportation Planning,U D 385M,3,Graduate
Topics in Community and Regional Planning,U D 386M,3,Graduate
Urban Design Independent Research,U D 387C,3,Graduate
Urban Design Honors Research,U D 387D,3,Graduate
"Urban Design History, Theory, and Criticism",U D 388,3,Graduate
Post-Professional Seminar Readings,U D 388K,3,Graduate
Topics in Urban Design History and Theory,U D 388R,3,Graduate
Topics in Historic Preservation,U D 389R,3,Graduate
Urban Design Planning Project,U D 690,6,Graduate
Topics in Urban Design Studio,U D 696,6,Graduate
Urban Design Options Studio,U D 696C,6,Graduate
Urban Design Terminal Studio,U D 696D,6,Graduate
Urban Design Honors Project,U D 696E,6,Graduate
Thesis,U D 698,6,Graduate
,,Total Hours: 75
DegreeView
