Coursename,Coursecode,Hours,Classification
First-Year Signature Course,UGS 302,3,Lower Division
First-Year Signature Course,UGS 303,3,Lower Division
First-Year Interest Group Mentor Seminar,UGS 104,1,Lower Division
First-Year Interest Group Returning Mentor Seminar,UGS 104R,1,Lower Division
Transfer Year Interest Group Mentor Seminar,UGS 104T,1,Lower Division
DSP Spring Seminar,UGS 106C,1,Lower Division
Topics in Undergraduate Studies,UGS 107D,1,Lower Division
Analytical Reading and Writing,UGS 309,3,Lower Division
Undergraduate Research Experience,"UGS 110K, 210K, 310K","1, 2, 3",Lower Division
Topics in Research Methods,UGS 312,3,Lower Division
Fundamentals,UGS 114M,1,Lower Division
First-Year Interest Group Seminar,UGS 016,0,Lower Division
First-Year Connection Seminar,UGS 016C,0,Lower Division
Sophomore Interest Group Seminar,UGS 016S,0,Lower Division
Transfer-Year Interest Group Seminar,UGS 016T,0,Lower Division
Topics in International Learning Seminar,UGS 119,1,Lower Division
Topics in Undergraduate Studies,"UGS 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Undergraduate Research Experience,UGS 320L,3,Upper Division
Topics in Research Skill Development and Support,UGS 121C,1,Upper Division
Organized Group Research,"UGS 123, 223, 323","1, 2, 3",Upper Division
,,Total Hours: 32
DegreeView
