Coursename,Coursecode,Hours,Classification
First-Year Ukrainian I,UKR 406,4,Lower Division
First-Year Ukrainian II,UKR 407,4,Lower Division
Ukrainian for Slavic Learners I,UKR 308,3,Lower Division
Ukrainian for Slavic Learners II,UKR 309,3,Lower Division
Second-Year Ukrainian I,UKR 312K,3,Lower Division
Second-Year Ukrainian II,UKR 312L,3,Lower Division
Topics in Ukrainian,"UKR 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Third-Year Ukrainian I,UKR 325,3,Upper Division
Third-Year Ukrainian II,UKR 326,3,Upper Division
Topics in Ukrainian,"UKR 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
,,Total Hours: 32
DegreeView
