Coursename,Coursecode,Hours,Classification
Introduction to Urban Studies,URB 301,3,Lower Division
Introductory Topics in Urban Studies,URB 305,3,Lower Division
Urban Studies Research Methods,URB 315,3,Lower Division
Topics in Urban Studies,"URB 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Sensing: Elemental Media,URB 320E,3,Upper Division
Modernism in American Design and Architecture,URB 320M,3,Upper Division
The Culture of Cities,URB 320T,3,Upper Division
Development Economics,URB 321D,3,Upper Division
African Cities Since 1500,URB 321G,3,Upper Division
Urban Imaginaries,URB 321M,3,Upper Division
Introduction to Risk Management,URB 321R,3,Upper Division
Urban Sociology,URB 321U,3,Upper Division
Vienna: Memory and the City,URB 322C,3,Upper Division
Urban Economics,URB 322E,3,Upper Division
Anthropology of Infrastructure,URB 322P,3,Upper Division
"Race, Social Justice, and the City",URB 322R,3,Upper Division
"Texas, 1900 to the Present",URB 322T,3,Upper Division
Negotiating Urbanization: Case Studies in Turkey,URB 322U,3,Upper Division
Building the Sustainable City,URB 323S,3,Upper Division
Urban Publics,URB 324C,3,Upper Division
Global Cities in the United States,URB 324G,3,Upper Division
Special Topics in Urban Studies,URB 325,3,Upper Division
"The Healthy, Livable City",URB 325E,3,Upper Division
Sociology of Criminal Justice,URB 325L,3,Upper Division
Introduction to Real Estate and Urban Land Development,URB 325R,3,Upper Division
Berlin,URB 326F,3,Upper Division
African American History since 1860,URB 327D,3,Upper Division
Urban Unrest,URB 327U,3,Upper Division
Principles of Physical Planning,URB 328C,3,Upper Division
Environmental History of North America,URB 328E,3,Upper Division
Latino Urbanism in the United States City,URB 328L,3,Upper Division
Human Behavior and Social Environment,URB 328S,3,Upper Division
Topics in Urban Studies,"URB 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Urban Experiences In East Asia,URB 330F,3,Upper Division
The Global City,URB 330G,3,Upper Division
Human Health and the Environment,URB 332D,3,Upper Division
City Architecture,URB 335F,3,Upper Division
The Modern American City,URB 337,3,Upper Division
Contemporary Cultural Geography,URB 340,3,Upper Division
Water and the Roman City,URB 342C,3,Upper Division
Topics in Urban Design and Planning,URB 352,3,Upper Division
American Dilemmas,URB 352C,3,Upper Division
Topics in Urban Society and Culture,URB 354,3,Upper Division
Urban Politics,URB 355U,3,Upper Division
Internship and Service Learning,URB 360,3,Upper Division
Senior Project,URB 370,3,Upper Division
Conference Course,URB 379,3,Upper Division
Honors Tutorial Course,URB 679H,6,Upper Division
,,Total Hours: 147
DegreeView
