Coursename,Coursecode,Hours,Classification
Accelerated First-Year Urdu,URD 604,6,Lower Division
First-Year Urdu I,URD 506,5,Lower Division
First-Year Urdu II,URD 507,5,Lower Division
Accelerated Second-Year Urdu,URD 612,6,Lower Division
Second-Year Urdu I,URD 312K,3,Lower Division
Second-Year Urdu II,URD 312L,3,Lower Division
Practice in Spoken Urdu I,URD 118K,1,Lower Division
Practice in Spoken Urdu II,URD 118L,1,Lower Division
Topics in Urdu,"URD 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Urdu,"URD 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Urdu Language and Literature,URD 330,3,Upper Division
Urdu Across Disciplines,URD 130D,1,Upper Division
Gender and Sexuality in Urdu-Hindi,URD 330G,3,Upper Division
Style and Register in Urdu,URD 332,3,Upper Division
Conference Course in Urdu Language and Literature,URD 360,3,Upper Division
Conference Course in Urdu Language and Culture,URD 381,3,Graduate
Topics in Urdu Language and Culture,URD 384,3,Graduate
,,Total Hours: 55
DegreeView
