Coursename,Coursecode,Hours,Classification
Introduction to the Teaching Profession,UTL 101,1,Lower Division
Introduction to Teaching in the Middle School,UTL 202,2,Lower Division
Teaching English in the High School,UTL 303E,3,Lower Division
Teaching Languages Other Than English in the High School,UTL 303L,3,Lower Division
Teaching Social Studies in the High School,UTL 303S,3,Lower Division
Middle School Teaching for Postbaccalaureate Certification,UTL 304,3,Lower Division
Topics in Teaching the Liberal Arts,UTL 320,3,Upper Division
Teaching in Secondary Schools,UTL 640,6,Upper Division
Overcoming Reading Difficulties,UTL 341R,3,Upper Division
Problems and Principles of Secondary Education,UTL 360,3,Upper Division
Directed Teaching in Secondary Schools,UTL 670,6,Upper Division
,,Total Hours: 36
DegreeView
