Coursename,Coursecode,Hours,Classification
Secondary Teacher Education Preparation: Step 1,UTS 101,1,Lower Division
Hands-On Science I,UTS 306J,3,Lower Division
Hands-On Science II,UTS 306K,3,Lower Division
Hands-On Science III,UTS 306L,3,Lower Division
Hands-On Science IV,UTS 306M,3,Lower Division
Secondary Teacher Education Preparation: STEP 2,UTS 110,1,Lower Division
Secondary Teacher Education Prep: Advanced Steps,UTS 211,2,Lower Division
"Introduction to Making: STEM, Design, and The Arts",UTS 118,1,Lower Division
"Pedagogy for Inquiry-Based, Hands-on-Science Instruction",UTS 220,2,Upper Division
Topics in Teaching Math and Science,UTS 120F,1,Upper Division
Knowing and Learning in Math and Science,UTS 350,3,Upper Division
Classroom Interactions,UTS 355,3,Upper Division
Project-Based Instruction,UTS 360,3,Upper Division
Student Teaching Seminar,UTS 170,1,Upper Division
UTeach Induction Support,UTS 171,1,Upper Division
Student Teaching for Secondary and Middle Grades,UTS 675,6,Upper Division
Computer Science Pathways,UTS 175C,1,Upper Division
Topics in Teaching Math and Science,"UTS 180, 280, 380, 680, 980","1, 2, 3, 6, 9",Graduate
,,Total Hours: 41
DegreeView
