Coursename,Coursecode,Hours,Classification
Introductory Topics in Women's and Gender Studies,WGS 301,3,Lower Division
"Introduction to Lesbian, Gay, Bisexual, Transgender, and Queer Studies",WGS 303,3,Lower Division
Introduction to Women's and Gender Studies,WGS 305,3,Lower Division
Topics in Women's and Gender Studies,"WGS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Introduction to Women's and Gender Studies in the Social Sciences,WGS 322,3,Upper Division
Sociology of Gender,WGS 322C,3,Upper Division
Population and Society,WGS 322D,3,Upper Division
Sociology of Masculinities,WGS 322E,3,Upper Division
The Sociology of Race and Work,WGS 322F,3,Upper Division
Race and the Digital,WGS 322G,3,Upper Division
"Race, Gender, and Surveillance",WGS 322J,3,Upper Division
Sex and Violence in Popular Culture,WGS 322K,3,Upper Division
Topics in Introduction to Women's and Gender Studies in the Natural Sciences,WGS 323,3,Upper Division
Primate Social Behavior,WGS 323C,3,Upper Division
Sex and Human Nature,WGS 323D,3,Upper Division
Topics in Introduction to Women's and Gender Studies in Communication,WGS 324,3,Upper Division
Gender and Media Culture,WGS 324C,3,Upper Division
"Race, Class, and Gender in American Television",WGS 324D,3,Upper Division
Gender and Fan Culture,WGS 324E,3,Upper Division
"Gender, Race, and Sexuality in Sports Media",WGS 324F,3,Upper Division
Gender and the News,WGS 324G,3,Upper Division
Stardom and Celebrity Culture,WGS 324J,3,Upper Division
Special Topics in Women's and Gender Studies,WGS 125,1,Upper Division
Topics in Women's and Gender Studies,WGS 345,3,Upper Division
Introduction to Developmental Psychology,WGS 333D,3,Upper Division
Social Development in Children,WGS 333R,3,Upper Division
"Topics in Lesbian, Gay, Bisexual, Transgender, and Queer Studies",WGS 335,3,Upper Division
Queer Media Studies,WGS 335C,3,Upper Division
Queer Television,WGS 335D,3,Upper Division
Cross-Cultural Topics in Women's and Gender Studies,WGS 340,3,Upper Division
Topics in Cross-Cultural Feminisms,WGS 340S,3,Upper Division
The Roots of Social and Economic Justice,WGS 441,4,Upper Division
Punks and Divas in Southeast Europe,WGS 345D,3,Upper Division
"Lesbian, Gay, Bisexual, Transgender, and Queer Literature and Culture",WGS 345E,3,Upper Division
Virginia Woolf,WGS 345G,3,Upper Division
Toni Morrison,WGS 345I,3,Upper Division
Women's Autobiographical Writing,WGS 345J,3,Upper Division
American Literary Masculinities,WGS 345K,3,Upper Division
Eighteenth-Century Women Writers,WGS 345L,3,Upper Division
Gender and Politics in a Comparative Perspective,WGS 345M,3,Upper Division
Women and Sports Media,WGS 345N,3,Upper Division
Gender and Speculative Fiction,WGS 345O,3,Upper Division
American Women Writers,WGS 345P,3,Upper Division
Displacement and Resistance,WGS 345Q,3,Upper Division
Bradstreet and Wheatley,WGS 345R,3,Upper Division
Elena Ferrante: Politics and Passion,WGS 345S,3,Upper Division
"Race, Gender, and Political Economy in United States Literature",WGS 345T,3,Upper Division
Women and Sport,WGS 345U,3,Upper Division
Feminist Theory,WGS 350,3,Upper Division
Introduction to Feminist Research Methods,WGS 356,3,Upper Division
Supervised Research,WGS 358Q,3,Upper Division
Research and Thesis in Women's and Gender Studies,WGS 360,3,Upper Division
Honors Tutorial Course,WGS 679H,6,Upper Division
Internship in Women's and Gender Studies,WGS 379L,3,Upper Division
Senior Seminar,WGS 379S,3,Upper Division
The Roots of Social and Economic Justice,WGS 481,4,Graduate
Internship in Women's and Gender Studies,WGS 384N,3,Graduate
Introduction to Women's and Gender Studies,WGS 390,3,Graduate
Writing Workshop,WGS 390W,3,Graduate
Feminist Theories,WGS 391,3,Graduate
Research Methods Seminar in Women's and Gender Studies,WGS 392,3,Graduate
Seminar: Topics in Women's and Gender Studies,WGS 393,3,Graduate
Topics in International Women's and Gender Studies,WGS 393L,3,Graduate
Topics in Specialized Women's and Gender Studies,WGS 393S,3,Graduate
Conference Course in Women's and Gender Studies,WGS 394,3,Graduate
Special Projects in Women's and Gender Studies,WGS 195,1,Graduate
Thesis,WGS 698,6,Graduate
Master's Report,WGS 398R,3,Graduate
,,Total Hours: 208
DegreeView
