Coursename,Coursecode,Hours,Classification
Accelerated First-Year Yiddish,YID 604,6,Lower Division
Accelerated Second-Year Yiddish,YID 612,6,Lower Division
Topics in Yiddish,"YID 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Yiddish I,YID 327,3,Upper Division
Advanced Yiddish II,YID 328,3,Upper Division
Topics in Yiddish,"YID 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Yiddish across Disciplines,YID 130D,1,Upper Division
Conference Course in Yiddish Language or Literature,"YID 179, 279, 379","1, 2, 3",Upper Division
,,Total Hours: 28
DegreeView
