Coursename,Coursecode,Hours,Classification
Beginning Yoruba,YOR 601C,6,Lower Division
First-Year Yoruba I,YOR 506,5,Lower Division
First-Year Yoruba II,YOR 507,5,Lower Division
Intermediate Yoruba,YOR 611C,6,Lower Division
Second-Year Yoruba I,YOR 312K,3,Lower Division
Second-Year Yoruba II,YOR 312L,3,Lower Division
Topics in Yoruba,"YOR 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Yoruba,"YOR 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Yoruba Language Studies,YOR 382,3,Graduate
,,Total Hours: 37
DegreeView
