Project Eulers CSV,,"Sep 20, 2025"
1,Multiples of 3 or 5,1037857
2,Even Fibonacci Numbers,825916
3,Largest Prime Factor,595073
4,Largest Palindrome Product,525488
5,Smallest Multiple,527800
6,Sum Square Difference,531516
7,10 001st Prime,454367
8,Largest Product in a Series,380765
9,Special Pythagorean Triplet,385966
10,Summation of Primes,354681
11,Largest Product in a Grid,254560
12,Highly Divisible Triangular Number,241249
13,Large Sum,246191
14,Longest Collatz Sequence,246963
15,Lattice Paths,204262
16,Power Digit Sum,249017
17,Number Letter Counts,165781
18,Maximum Path Sum I,158758
19,Counting Sundays,147348
20,Factorial Digit Sum,215315
21,Amicable Numbers,160057
22,Names Scores,146943
23,Non-Abundant Sums,115154
24,Lexicographic Permutations,125875
25,$1000$-digit Fibonacci Number,169744
26,Reciprocal Cycles,93111
27,Quadratic Primes,96605
28,Number Spiral Diagonals,117977
29,Distinct Powers,115960
30,Digit Fifth Powers,120565
31,Coin Sums,94340
32,Pandigital Products,79140
33,Digit Cancelling Fractions,79377
34,Digit Factorials,103674
35,Circular Primes,93389
36,Double-base Palindromes,97493
37,Truncatable Primes,81413
38,Pandigital Multiples,69908
39,Integer Right Triangles,80812
40,Champernowne's Constant,88032
41,Pandigital Prime,75581
42,Coded Triangle Numbers,81815
43,Sub-string Divisibility,66543
44,Pentagon Numbers,65236
45,"Triangular, Pentagonal, and Hexagonal",78204
46,Goldbach's Other Conjecture,68596
47,Distinct Primes Factors,64560
48,Self Powers,122147
49,Prime Permutations,64383
50,Consecutive Prime Sum,69498
